nohup: ignoring input
GPU available:  True
CuDNN: 
 True
Loaded config file sucessfully.
data_dir dataset/tpe/10000
pretrained_embeddings_file dataset/tpe/10000/ojclone-4000-tpe.vec
train_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/1w/tpe/train_tpe_1w.txt
dev_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/1w/tpe/dev_tpe_1w.txt
test_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/1w/tpe/dev_tpe_1w.txt
min_occur_count 0
save_dir outmodel/tpe/ojc-clone-noclone-1-1/1w
config_file outmodel/tpe/ojc-clone-noclone-1-1/1w/config.cfg
save_model_path outmodel/tpe/ojc-clone-noclone-1-1/1w/model
save_vocab_path outmodel/tpe/ojc-clone-noclone-1-1/1w/vocab
load_dir outmodel/tpe/ojc-clone-noclone-1-1/1w
load_model_path outmodel/tpe/ojc-clone-noclone-1-1/1w/model
load_vocab_path outmodel/tpe/ojc-clone-noclone-1-1/1w/vocab
lstm_layers 1
word_dims 100
tag_dims 100
dropout_emb 0.33
lstm_hiddens 100
dropout_lstm_input 0.33
dropout_lstm_hidden 0.33
mlp_arc_size 500
mlp_rel_size 100
dropout_mlp 0.33
use_cosine 0
learning_rate 2e-3
decay .75
decay_steps 1000
beta_1 .9
beta_2 .9
epsilon 1e-12
clip 1.0
num_buckets_train 40
num_buckets_valid 10
num_buckets_test 10
train_iters 50
train_batch_size 64
test_batch_size 64
validate_every 700
update_every 1
save_after 1
Total num: 9989
Vocab info: #output tags 2
Total words: 5907

The dim of pretrained embeddings: 100

GPU ID:0

GPU using status:  True
100 200
Orthogonal pretrainer loss: 7.80e-31
100 200
Orthogonal pretrainer loss: 7.10e-31
2 200
Orthogonal pretrainer loss: 5.73e+00
<function Module.cuda.<locals>.<lambda> at 0x7fe7466ca680>
Always in cpu: function disabled
Total num: 9989
Total num: 3330
Iteration: 0, total batch num: 157
Step:0, ACC:46.88, Iter:0, batch:0, time:1.10, loss:0.69
Step:1, ACC:44.93, Iter:0, batch:1, time:1.44, loss:0.70
Step:2, ACC:48.87, Iter:0, batch:2, time:2.20, loss:0.69
Step:3, ACC:52.79, Iter:0, batch:3, time:2.94, loss:0.68
Step:4, ACC:51.72, Iter:0, batch:4, time:3.84, loss:0.69
Step:5, ACC:51.69, Iter:0, batch:5, time:4.75, loss:0.69
Step:6, ACC:50.90, Iter:0, batch:6, time:5.73, loss:0.69
Step:7, ACC:50.55, Iter:0, batch:7, time:7.10, loss:0.69
Step:8, ACC:49.13, Iter:0, batch:8, time:8.10, loss:0.69
Step:9, ACC:49.91, Iter:0, batch:9, time:8.84, loss:0.69
Step:10, ACC:50.23, Iter:0, batch:10, time:9.50, loss:0.68
Step:11, ACC:50.92, Iter:0, batch:11, time:10.32, loss:0.68
Step:12, ACC:50.97, Iter:0, batch:12, time:11.22, loss:0.69
Step:13, ACC:50.18, Iter:0, batch:13, time:12.31, loss:0.70
Step:14, ACC:50.83, Iter:0, batch:14, time:13.10, loss:0.67
Step:15, ACC:51.40, Iter:0, batch:15, time:14.12, loss:0.69
Step:16, ACC:51.99, Iter:0, batch:16, time:15.01, loss:0.69
Step:17, ACC:52.52, Iter:0, batch:17, time:15.73, loss:0.67
Step:18, ACC:53.07, Iter:0, batch:18, time:16.97, loss:0.69
Step:19, ACC:53.40, Iter:0, batch:19, time:17.74, loss:0.68
Step:20, ACC:53.39, Iter:0, batch:20, time:18.61, loss:0.70
Step:21, ACC:53.30, Iter:0, batch:21, time:19.72, loss:0.69
Step:22, ACC:52.94, Iter:0, batch:22, time:20.60, loss:0.70
Step:23, ACC:52.67, Iter:0, batch:23, time:21.81, loss:0.70
Step:24, ACC:52.56, Iter:0, batch:24, time:22.86, loss:0.68
Step:25, ACC:52.71, Iter:0, batch:25, time:23.65, loss:0.66
Step:26, ACC:52.55, Iter:0, batch:26, time:24.57, loss:0.68
Step:27, ACC:52.57, Iter:0, batch:27, time:25.41, loss:0.67
Step:28, ACC:52.31, Iter:0, batch:28, time:26.01, loss:0.69
Step:29, ACC:52.39, Iter:0, batch:29, time:26.79, loss:0.68
Step:30, ACC:52.68, Iter:0, batch:30, time:27.89, loss:0.68
Step:31, ACC:52.49, Iter:0, batch:31, time:28.71, loss:0.68
Step:32, ACC:52.36, Iter:0, batch:32, time:30.17, loss:0.68
Step:33, ACC:52.10, Iter:0, batch:33, time:31.55, loss:0.69
