nohup: ignoring input
GPU available:  True
CuDNN: 
 True
Loaded config file sucessfully.
data_dir dataset/tpe/10000
pretrained_embeddings_file dataset/tpe/10000/ojclone-4000-tpe.vec
train_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/3w/tpe/train_tpe_3w.txt
dev_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/3w/tpe/dev_tpe_3w.txt
test_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/3w/tpe/dev_tpe_3w.txt
min_occur_count 0
save_dir outmodel/tpe/ojc-clone-noclone-1-1/3w
config_file outmodel/tpe/ojc-clone-noclone-1-1/3w/config.cfg
save_model_path outmodel/tpe/ojc-clone-noclone-1-1/3w/model
save_vocab_path outmodel/tpe/ojc-clone-noclone-1-1/3w/vocab
load_dir outmodel/tpe/ojc-clone-noclone-1-1/3w
load_model_path outmodel/tpe/ojc-clone-noclone-1-1/3w/model
load_vocab_path outmodel/tpe/ojc-clone-noclone-1-1/3w/vocab
lstm_layers 1
word_dims 100
tag_dims 100
dropout_emb 0.33
lstm_hiddens 100
dropout_lstm_input 0.33
dropout_lstm_hidden 0.33
mlp_arc_size 500
mlp_rel_size 100
dropout_mlp 0.33
use_cosine 0
learning_rate 2e-3
decay .75
decay_steps 1000
beta_1 .9
beta_2 .9
epsilon 1e-12
clip 1.0
num_buckets_train 40
num_buckets_valid 10
num_buckets_test 10
train_iters 50
train_batch_size 64
test_batch_size 64
validate_every 700
update_every 1
save_after 1
Total num: 29966
Vocab info: #output tags 2
Total words: 5907

The dim of pretrained embeddings: 100

GPU ID:0

GPU using status:  True
100 200
Orthogonal pretrainer loss: 7.80e-31
100 200
Orthogonal pretrainer loss: 7.10e-31
2 200
Orthogonal pretrainer loss: 5.73e+00
<function Module.cuda.<locals>.<lambda> at 0x7f7b66249680>
Always in cpu: function disabled
Total num: 29966
Total num: 9988
Iteration: 0, total batch num: 469
Step:0, ACC:59.38, Iter:0, batch:0, time:1.30, loss:0.69
Step:1, ACC:48.44, Iter:0, batch:1, time:2.86, loss:0.69
Step:2, ACC:49.48, Iter:0, batch:2, time:3.79, loss:0.69
Step:3, ACC:49.22, Iter:0, batch:3, time:5.00, loss:0.69
Step:4, ACC:50.94, Iter:0, batch:4, time:6.20, loss:0.69
Step:5, ACC:48.70, Iter:0, batch:5, time:6.87, loss:0.70
Step:6, ACC:49.11, Iter:0, batch:6, time:7.70, loss:0.69
Step:7, ACC:48.83, Iter:0, batch:7, time:8.86, loss:0.69
Step:8, ACC:48.78, Iter:0, batch:8, time:10.01, loss:0.68
Step:9, ACC:49.38, Iter:0, batch:9, time:10.84, loss:0.70
Step:10, ACC:50.00, Iter:0, batch:10, time:11.96, loss:0.69
Step:11, ACC:49.87, Iter:0, batch:11, time:12.83, loss:0.69
Step:12, ACC:50.00, Iter:0, batch:12, time:13.91, loss:0.69
Step:13, ACC:50.56, Iter:0, batch:13, time:15.09, loss:0.68
Step:14, ACC:50.31, Iter:0, batch:14, time:15.88, loss:0.68
Step:15, ACC:50.49, Iter:0, batch:15, time:16.88, loss:0.68
Step:16, ACC:50.18, Iter:0, batch:16, time:17.61, loss:0.69
Step:17, ACC:50.09, Iter:0, batch:17, time:18.55, loss:0.68
Step:18, ACC:50.33, Iter:0, batch:18, time:19.20, loss:0.68
Step:19, ACC:50.62, Iter:0, batch:19, time:19.85, loss:0.68
Step:20, ACC:50.22, Iter:0, batch:20, time:21.13, loss:0.67
Step:21, ACC:50.78, Iter:0, batch:21, time:22.14, loss:0.66
Step:22, ACC:51.43, Iter:0, batch:22, time:22.94, loss:0.65
Step:23, ACC:52.02, Iter:0, batch:23, time:23.92, loss:0.67
Step:24, ACC:52.12, Iter:0, batch:24, time:24.85, loss:0.68
Step:25, ACC:52.10, Iter:0, batch:25, time:26.04, loss:0.66
Step:26, ACC:52.49, Iter:0, batch:26, time:26.80, loss:0.65
Step:27, ACC:52.68, Iter:0, batch:27, time:27.53, loss:0.67
Step:28, ACC:52.91, Iter:0, batch:28, time:28.60, loss:0.64
Step:29, ACC:53.33, Iter:0, batch:29, time:29.32, loss:0.65
Step:30, ACC:53.53, Iter:0, batch:30, time:30.31, loss:0.65
Step:31, ACC:53.47, Iter:0, batch:31, time:30.99, loss:0.66
Step:32, ACC:53.65, Iter:0, batch:32, time:32.04, loss:0.62
Step:33, ACC:54.00, Iter:0, batch:33, time:33.12, loss:0.63
Step:34, ACC:54.38, Iter:0, batch:34, time:33.87, loss:0.62
Step:35, ACC:54.60, Iter:0, batch:35, time:34.83, loss:0.67
Step:36, ACC:54.52, Iter:0, batch:36, time:35.75, loss:0.68
Step:37, ACC:54.73, Iter:0, batch:37, time:36.43, loss:0.65
Step:38, ACC:55.17, Iter:0, batch:38, time:37.64, loss:0.65
Step:39, ACC:55.59, Iter:0, batch:39, time:38.70, loss:0.61
Step:40, ACC:55.98, Iter:0, batch:40, time:39.39, loss:0.62
Step:41, ACC:56.25, Iter:0, batch:41, time:40.77, loss:0.64
Step:42, ACC:56.29, Iter:0, batch:42, time:41.90, loss:0.62
Step:43, ACC:56.43, Iter:0, batch:43, time:42.94, loss:0.65
Step:44, ACC:56.84, Iter:0, batch:44, time:44.44, loss:0.58
Step:45, ACC:57.13, Iter:0, batch:45, time:45.62, loss:0.62
Step:46, ACC:57.28, Iter:0, batch:46, time:46.66, loss:0.65
Step:47, ACC:57.10, Iter:0, batch:47, time:47.48, loss:0.72
Step:48, ACC:57.27, Iter:0, batch:48, time:48.43, loss:0.67
Step:49, ACC:57.59, Iter:0, batch:49, time:49.05, loss:0.62
Step:50, ACC:57.69, Iter:0, batch:50, time:50.03, loss:0.61
Step:51, ACC:57.84, Iter:0, batch:51, time:51.49, loss:0.63
Step:52, ACC:58.08, Iter:0, batch:52, time:52.44, loss:0.61
Step:53, ACC:58.10, Iter:0, batch:53, time:53.33, loss:0.63
Step:54, ACC:58.01, Iter:0, batch:54, time:54.46, loss:0.66
Step:55, ACC:58.20, Iter:0, batch:55, time:55.19, loss:0.58
Step:56, ACC:58.39, Iter:0, batch:56, time:56.29, loss:0.67
Step:57, ACC:58.65, Iter:0, batch:57, time:56.92, loss:0.59
Step:58, ACC:58.71, Iter:0, batch:58, time:57.90, loss:0.65
Step:59, ACC:58.80, Iter:0, batch:59, time:58.62, loss:0.61
Step:60, ACC:58.99, Iter:0, batch:60, time:59.43, loss:0.61
Step:61, ACC:58.92, Iter:0, batch:61, time:60.54, loss:0.64
Step:62, ACC:58.95, Iter:0, batch:62, time:61.84, loss:0.64
Step:63, ACC:59.08, Iter:0, batch:63, time:62.54, loss:0.62
Step:64, ACC:59.16, Iter:0, batch:64, time:63.41, loss:0.62
Step:65, ACC:59.19, Iter:0, batch:65, time:64.63, loss:0.61
Step:66, ACC:59.26, Iter:0, batch:66, time:65.26, loss:0.58
Step:67, ACC:59.28, Iter:0, batch:67, time:65.81, loss:0.61
Step:68, ACC:59.35, Iter:0, batch:68, time:66.77, loss:0.58
Step:69, ACC:59.62, Iter:0, batch:69, time:68.03, loss:0.55
Step:70, ACC:59.73, Iter:0, batch:70, time:68.85, loss:0.58
Step:71, ACC:59.83, Iter:0, batch:71, time:69.84, loss:0.60
Step:72, ACC:60.06, Iter:0, batch:72, time:70.96, loss:0.49
Step:73, ACC:60.14, Iter:0, batch:73, time:72.31, loss:0.56
Step:74, ACC:60.25, Iter:0, batch:74, time:73.14, loss:0.57
