nohup: ignoring input
GPU available:  True
CuDNN: 
 True
Loaded config file sucessfully.
data_dir dataset/tpe/10000
pretrained_embeddings_file dataset/tpe/10000/ojclone-4000-tpe.vec
train_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/4w/tpe/train_tpe_4w.txt
dev_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/4w/tpe/dev_tpe_4w.txt
test_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/4w/tpe/dev_tpe_4w.txt
min_occur_count 0
save_dir outmodel/tpe/ojc-clone-noclone-1-1/4w
config_file outmodel/tpe/ojc-clone-noclone-1-1/4w/config.cfg
save_model_path outmodel/tpe/ojc-clone-noclone-1-1/4w/model
save_vocab_path outmodel/tpe/ojc-clone-noclone-1-1/4w/vocab
load_dir outmodel/tpe/ojc-clone-noclone-1-1/4w
load_model_path outmodel/tpe/ojc-clone-noclone-1-1/4w/model
load_vocab_path outmodel/tpe/ojc-clone-noclone-1-1/4w/vocab
lstm_layers 1
word_dims 100
tag_dims 100
dropout_emb 0.33
lstm_hiddens 100
dropout_lstm_input 0.33
dropout_lstm_hidden 0.33
mlp_arc_size 500
mlp_rel_size 100
dropout_mlp 0.33
use_cosine 0
learning_rate 2e-3
decay .75
decay_steps 1000
beta_1 .9
beta_2 .9
epsilon 1e-12
clip 1.0
num_buckets_train 40
num_buckets_valid 10
num_buckets_test 10
train_iters 50
train_batch_size 64
test_batch_size 64
validate_every 700
update_every 1
save_after 1
Total num: 39942
Vocab info: #output tags 2
Total words: 5907

The dim of pretrained embeddings: 100

GPU ID:1

GPU using status:  True
100 200
Orthogonal pretrainer loss: 7.80e-31
100 200
Orthogonal pretrainer loss: 7.10e-31
2 200
Orthogonal pretrainer loss: 5.73e+00
<function Module.cuda.<locals>.<lambda> at 0x7fec32dba680>
Always in cpu: function disabled
Total num: 39942
Total num: 13315
Iteration: 0, total batch num: 625
Step:0, ACC:51.56, Iter:0, batch:0, time:1.54, loss:0.69
Step:1, ACC:51.56, Iter:0, batch:1, time:2.59, loss:0.69
Step:2, ACC:49.48, Iter:0, batch:2, time:4.02, loss:0.69
Step:3, ACC:49.22, Iter:0, batch:3, time:5.02, loss:0.70
Step:4, ACC:48.44, Iter:0, batch:4, time:6.59, loss:0.69
Step:5, ACC:48.70, Iter:0, batch:5, time:7.75, loss:0.69
Step:6, ACC:49.55, Iter:0, batch:6, time:9.03, loss:0.69
Step:7, ACC:49.80, Iter:0, batch:7, time:10.05, loss:0.69
Step:8, ACC:50.52, Iter:0, batch:8, time:10.88, loss:0.69
Step:9, ACC:50.31, Iter:0, batch:9, time:12.67, loss:0.69
Step:10, ACC:49.01, Iter:0, batch:10, time:14.44, loss:0.70
Step:11, ACC:48.70, Iter:0, batch:11, time:15.62, loss:0.69
Step:12, ACC:49.16, Iter:0, batch:12, time:17.08, loss:0.69
Step:13, ACC:49.33, Iter:0, batch:13, time:18.96, loss:0.69
Step:14, ACC:49.79, Iter:0, batch:14, time:20.65, loss:0.69
Step:15, ACC:49.90, Iter:0, batch:15, time:22.04, loss:0.68
Step:16, ACC:50.18, Iter:0, batch:16, time:23.23, loss:0.69
Step:17, ACC:50.00, Iter:0, batch:17, time:24.50, loss:0.70
Step:18, ACC:50.33, Iter:0, batch:18, time:25.52, loss:0.68
Step:19, ACC:50.39, Iter:0, batch:19, time:27.16, loss:0.68
Step:20, ACC:50.60, Iter:0, batch:20, time:28.69, loss:0.68
Step:21, ACC:50.21, Iter:0, batch:21, time:29.99, loss:0.69
Step:22, ACC:50.61, Iter:0, batch:22, time:31.29, loss:0.67
Step:23, ACC:50.65, Iter:0, batch:23, time:32.63, loss:0.68
Step:24, ACC:50.31, Iter:0, batch:24, time:34.72, loss:0.68
Step:25, ACC:50.30, Iter:0, batch:25, time:35.68, loss:0.68
Step:26, ACC:49.88, Iter:0, batch:26, time:37.06, loss:0.71
Step:27, ACC:49.61, Iter:0, batch:27, time:37.99, loss:0.69
Step:28, ACC:50.00, Iter:0, batch:28, time:39.76, loss:0.65
Step:29, ACC:49.84, Iter:0, batch:29, time:40.98, loss:0.69
Step:30, ACC:49.90, Iter:0, batch:30, time:42.49, loss:0.68
Step:31, ACC:49.85, Iter:0, batch:31, time:43.69, loss:0.69
Step:32, ACC:49.81, Iter:0, batch:32, time:45.13, loss:0.67
Step:33, ACC:49.91, Iter:0, batch:33, time:46.26, loss:0.67
Step:34, ACC:49.91, Iter:0, batch:34, time:46.94, loss:0.67
Step:35, ACC:50.22, Iter:0, batch:35, time:48.36, loss:0.62
Step:36, ACC:50.25, Iter:0, batch:36, time:49.07, loss:0.65
Step:37, ACC:50.37, Iter:0, batch:37, time:50.20, loss:0.63
Step:38, ACC:50.44, Iter:0, batch:38, time:51.04, loss:0.65
Step:39, ACC:50.66, Iter:0, batch:39, time:52.28, loss:0.64
Step:40, ACC:50.95, Iter:0, batch:40, time:52.92, loss:0.64
Step:41, ACC:50.97, Iter:0, batch:41, time:53.90, loss:0.63
Step:42, ACC:50.94, Iter:0, batch:42, time:54.43, loss:0.67
Step:43, ACC:50.96, Iter:0, batch:43, time:55.16, loss:0.64
Step:44, ACC:50.83, Iter:0, batch:44, time:56.34, loss:0.66
Step:45, ACC:50.82, Iter:0, batch:45, time:57.10, loss:0.65
Step:46, ACC:51.00, Iter:0, batch:46, time:58.19, loss:0.63
Step:47, ACC:50.91, Iter:0, batch:47, time:59.13, loss:0.64
Step:48, ACC:50.86, Iter:0, batch:48, time:60.28, loss:0.64
Step:49, ACC:50.84, Iter:0, batch:49, time:61.01, loss:0.64
Step:50, ACC:50.77, Iter:0, batch:50, time:62.24, loss:0.68
Step:51, ACC:50.84, Iter:0, batch:51, time:63.55, loss:0.69
Step:52, ACC:50.97, Iter:0, batch:52, time:64.16, loss:0.62
Step:53, ACC:51.10, Iter:0, batch:53, time:65.15, loss:0.61
