nohup: ignoring input
program_start_time:  2020-06-16 06:17:33.196090
Train for  C
train_data:  
550 4433 1
3032 3745 0
6328 1964 0
3436 7277 0
3112 1168 1
3376 3496 1
5380 6908 1
989 3177 0
2253 7327 1
6432 5829 1
85 951 0
4722 1908 1
4536 7256 0
4987 6853 0
2247 4694 1
1474 206 1
7025 601 0
4120 3110 1
5261 5628 1
6529 871 1
2564 5104 1
2099 5257 0
7040 1984 1
3279 7238 1
5682 1145 1
7213 3737 1
3486 2079 0
4644 535 0
5555 7357 0
1365 5985 0
5047 5879 0
2567 3068 1
6097 5753 0
5120 5086 0
5711 740 1
1779 3055 0
2700 5472 1
2047 6653 1
3060 3457 1
809 657 0
4380 5056 1
2348 1213 1
7099 5861 0
5551 7455 1
6672 186 0
2896 4725 1
6634 1345 0
5868 6809 0
4365 2201 1
6200 983 1
2150 2668 0
4666 5055 1
3619 1914 1
4533 3119 0
5018 6586 1
1465 5220 0
656 3933 1
679 6270 1
920 3910 1
5995 4333 0
7410 3472 1
2642 4684 0
2903 6259 1
1489 3400 1
1395 3471 1
3665 5780 1
1925 303 0
2697 2273 1
7081 7025 1
4379 2590 0
1476 2032 1
72 618 1
772 2824 1
2162 19 0
4037 1827 0
6713 2161 1
3647 7381 1
88 6924 1
734 5869 1
6136 3087 1
3966 3929 0
3001 3709 1
856 5971 1
1874 2923 0
3274 3544 0
2417 964 1
1797 4724 0
6397 1245 0
488 6284 0
4806 6250 1
7117 2367 0
4761 2827 0
3245 3473 1
4361 4426 1
704 3921 0
1560 1054 0
1966 2753 0
1871 7298 1
3223 6313 0
6521 7060 0
4278 2024 1
3032 4652 0
4078 4201 1
910 6084 1
6784 6436 0
4293 3695 1
1379 6363 1
377 7200 1
5370 2819 1
847 578 1
3243 1088 1
2257 6135 1
3943 5742 1
6561 4805 0
966 1275 1
476 2730 0
6389 5753 0
511 5526 0
5448 7319 1
2463 2836 1
337 430 0
7324 4926 0
2200 1636 0
1223 683 1
2777 959 0
7333 6936 0
6544 2935 1
1673 2976 1
6996 220 1
3164 5404 1
1464 4749 0
4816 2088 1
1653 1026 0
1014 1168 1
4705 4077 1
3125 4663 1
316 655 0
7166 305 0
1850 5393 1
4830 1698 1
6467 3998 0
5486 5698 0
850 3531 1
2057 3535 0
4196 4062 0
1628 5104 0
5660 5154 0
5540 3846 1
4424 5634 0
4106 347 1
3182 7122 1
7410 1735 1
759 1819 0
5177 6733 0
1692 1732 1
273 5775 1
717 6932 1
1480 5012 0
4388 694 0
1306 7333 1
2941 287 0
3065 3186 0
1354 2270 1
4549 3585 0
3861 7065 1
6391 3352 0
2688 4319 1
4087 1633 0
285 572 0
566 337 0
1118 4525 0
3286 6581 0
2954 3634 0
6553 1191 0
2433 5124 1
5010 1547 0
2065 3204 0
6170 1268 0
3378 6802 0
1727 7398 0
204 4095 1
2973 1664 1
4649 1939 0
6248 4141 0
5090 6716 1
2351 1408 1
3937 2027 1
6903 7264 1
386 2459 0
1538 6785 1
3660 1085 1
5924 6690 1
390 712 1
7280 1739 1
2571 5556 0
1805 2857 0
284 511 1
6042 2781 1
6923 3910 1
7418 3227 0
1297 365 1
754 877 0
4746 4440 0
2926 5060 1
3418 5800 0
1001 7019 1
2973 6032 1
2103 3484 0
4157 4808 1
2049 4584 1
2612 1450 1
4199 6693 0
6100 5230 1
6712 7350 1
6596 2815 1
3764 5677 1
2358 3193 1
371 1525 0
6059 3516 1
4027 3971 1
2902 1275 0
5823 4923 0
2388 2942 1
3439 1153 1
7457 2208 1
