nohup: ignoring input
GPU available:  True
CuDNN: 
 True
Loaded config file sucessfully.
data_dir dataset/tpe/10000
pretrained_embeddings_file dataset/tpe/10000/ojclone-4000-tpe.vec
train_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/7w/tpe/train_tpe_7w.txt
dev_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/7w/tpe/dev_tpe_7w.txt
test_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/7w/tpe/dev_tpe_7w.txt
min_occur_count 0
save_dir outmodel/tpe/ojc-clone-noclone-1-1/7w
config_file outmodel/tpe/ojc-clone-noclone-1-1/7w/config.cfg
save_model_path outmodel/tpe/ojc-clone-noclone-1-1/7w/model
save_vocab_path outmodel/tpe/ojc-clone-noclone-1-1/7w/vocab
load_dir outmodel/tpe/ojc-clone-noclone-1-1/7w
load_model_path outmodel/tpe/ojc-clone-noclone-1-1/7w/model
load_vocab_path outmodel/tpe/ojc-clone-noclone-1-1/7w/vocab
lstm_layers 1
word_dims 100
tag_dims 100
dropout_emb 0.33
lstm_hiddens 100
dropout_lstm_input 0.33
dropout_lstm_hidden 0.33
mlp_arc_size 500
mlp_rel_size 100
dropout_mlp 0.33
use_cosine 0
learning_rate 2e-3
decay .75
decay_steps 1000
beta_1 .9
beta_2 .9
epsilon 1e-12
clip 1.0
num_buckets_train 40
num_buckets_valid 10
num_buckets_test 10
train_iters 50
train_batch_size 64
test_batch_size 64
validate_every 700
update_every 1
save_after 1
Total num: 69900
Vocab info: #output tags 2
Total words: 5907

The dim of pretrained embeddings: 100

GPU ID:0

GPU using status:  True
100 200
Orthogonal pretrainer loss: 7.80e-31
100 200
Orthogonal pretrainer loss: 7.10e-31
2 200
Orthogonal pretrainer loss: 5.73e+00
<function Module.cuda.<locals>.<lambda> at 0x7fdf972c0680>
Always in cpu: function disabled
Total num: 69900
Total num: 23301
Iteration: 0, total batch num: 1093
Step:0, ACC:53.12, Iter:0, batch:0, time:1.73, loss:0.70
Step:1, ACC:53.91, Iter:0, batch:1, time:2.76, loss:0.69
Step:2, ACC:56.77, Iter:0, batch:2, time:4.06, loss:0.69
Step:3, ACC:53.91, Iter:0, batch:3, time:5.10, loss:0.69
Step:4, ACC:52.19, Iter:0, batch:4, time:5.86, loss:0.69
Step:5, ACC:50.78, Iter:0, batch:5, time:6.61, loss:0.70
Step:6, ACC:50.00, Iter:0, batch:6, time:8.17, loss:0.70
Step:7, ACC:50.20, Iter:0, batch:7, time:9.57, loss:0.69
Step:8, ACC:49.48, Iter:0, batch:8, time:10.50, loss:0.70
Step:9, ACC:50.00, Iter:0, batch:9, time:12.01, loss:0.68
Step:10, ACC:49.29, Iter:0, batch:10, time:12.96, loss:0.70
Step:11, ACC:48.57, Iter:0, batch:11, time:13.70, loss:0.69
Step:12, ACC:49.52, Iter:0, batch:12, time:14.43, loss:0.68
Step:13, ACC:50.11, Iter:0, batch:13, time:16.07, loss:0.68
Step:14, ACC:50.00, Iter:0, batch:14, time:16.71, loss:0.69
Step:15, ACC:50.10, Iter:0, batch:15, time:17.67, loss:0.68
Step:16, ACC:50.83, Iter:0, batch:16, time:18.59, loss:0.69
Step:17, ACC:50.61, Iter:0, batch:17, time:20.07, loss:0.69
Step:18, ACC:50.74, Iter:0, batch:18, time:21.01, loss:0.68
Step:19, ACC:50.39, Iter:0, batch:19, time:22.29, loss:0.68
Step:20, ACC:50.45, Iter:0, batch:20, time:24.08, loss:0.68
Step:21, ACC:50.43, Iter:0, batch:21, time:25.24, loss:0.67
Step:22, ACC:50.61, Iter:0, batch:22, time:26.28, loss:0.66
Step:23, ACC:50.78, Iter:0, batch:23, time:27.07, loss:0.64
Step:24, ACC:50.44, Iter:0, batch:24, time:28.56, loss:0.67
Step:25, ACC:50.66, Iter:0, batch:25, time:29.50, loss:0.64
Step:26, ACC:50.75, Iter:0, batch:26, time:30.32, loss:0.68
Step:27, ACC:50.78, Iter:0, batch:27, time:31.72, loss:0.67
Step:28, ACC:50.97, Iter:0, batch:28, time:32.51, loss:0.64
Step:29, ACC:50.99, Iter:0, batch:29, time:33.29, loss:0.69
Step:30, ACC:51.26, Iter:0, batch:30, time:34.08, loss:0.62
Step:31, ACC:51.56, Iter:0, batch:31, time:35.65, loss:0.64
Step:32, ACC:51.37, Iter:0, batch:32, time:36.56, loss:0.65
Step:33, ACC:51.19, Iter:0, batch:33, time:37.64, loss:0.68
Step:34, ACC:51.38, Iter:0, batch:34, time:39.04, loss:0.65
Step:35, ACC:51.30, Iter:0, batch:35, time:39.75, loss:0.63
Step:36, ACC:51.22, Iter:0, batch:36, time:40.70, loss:0.64
Step:37, ACC:51.44, Iter:0, batch:37, time:41.53, loss:0.61
Step:38, ACC:51.84, Iter:0, batch:38, time:43.08, loss:0.61
Step:39, ACC:51.72, Iter:0, batch:39, time:43.88, loss:0.63
Step:40, ACC:51.60, Iter:0, batch:40, time:44.57, loss:0.67
Step:41, ACC:51.71, Iter:0, batch:41, time:46.21, loss:0.63
Step:42, ACC:51.78, Iter:0, batch:42, time:47.25, loss:0.66
Step:43, ACC:51.67, Iter:0, batch:43, time:48.50, loss:0.66
Step:44, ACC:51.88, Iter:0, batch:44, time:49.23, loss:0.66
Step:45, ACC:52.28, Iter:0, batch:45, time:50.68, loss:0.63
Step:46, ACC:52.53, Iter:0, batch:46, time:51.55, loss:0.62
Step:47, ACC:52.86, Iter:0, batch:47, time:52.19, loss:0.58
Step:48, ACC:53.03, Iter:0, batch:48, time:53.01, loss:0.64
Step:49, ACC:53.56, Iter:0, batch:49, time:54.48, loss:0.57
Step:50, ACC:53.62, Iter:0, batch:50, time:55.23, loss:0.61
Step:51, ACC:53.82, Iter:0, batch:51, time:56.22, loss:0.60
Step:52, ACC:54.13, Iter:0, batch:52, time:57.51, loss:0.57
Step:53, ACC:54.54, Iter:0, batch:53, time:58.34, loss:0.55
Step:54, ACC:54.63, Iter:0, batch:54, time:59.12, loss:0.63
Step:55, ACC:55.05, Iter:0, batch:55, time:59.94, loss:0.54
Step:56, ACC:55.26, Iter:0, batch:56, time:61.58, loss:0.59
Step:57, ACC:55.39, Iter:0, batch:57, time:62.58, loss:0.67
Step:58, ACC:55.46, Iter:0, batch:58, time:63.37, loss:0.60
Step:59, ACC:55.65, Iter:0, batch:59, time:64.05, loss:0.57
Step:60, ACC:55.92, Iter:0, batch:60, time:65.53, loss:0.58
Step:61, ACC:56.15, Iter:0, batch:61, time:66.64, loss:0.59
Step:62, ACC:56.40, Iter:0, batch:62, time:67.50, loss:0.56
Step:63, ACC:56.62, Iter:0, batch:63, time:69.10, loss:0.54
Step:64, ACC:56.68, Iter:0, batch:64, time:70.13, loss:0.61
Step:65, ACC:56.82, Iter:0, batch:65, time:71.18, loss:0.58
Step:66, ACC:57.16, Iter:0, batch:66, time:72.15, loss:0.51
Step:67, ACC:57.47, Iter:0, batch:67, time:73.94, loss:0.53
Step:68, ACC:57.61, Iter:0, batch:68, time:74.62, loss:0.56
Step:69, ACC:57.66, Iter:0, batch:69, time:75.45, loss:0.66
Step:70, ACC:57.86, Iter:0, batch:70, time:76.85, loss:0.52
Step:71, ACC:58.20, Iter:0, batch:71, time:77.54, loss:0.53
Step:72, ACC:58.45, Iter:0, batch:72, time:78.41, loss:0.51
Step:73, ACC:58.70, Iter:0, batch:73, time:79.10, loss:0.59
Step:74, ACC:58.94, Iter:0, batch:74, time:80.63, loss:0.52
Step:75, ACC:58.94, Iter:0, batch:75, time:81.37, loss:0.66
Step:76, ACC:59.09, Iter:0, batch:76, time:82.48, loss:0.57
Step:77, ACC:59.23, Iter:0, batch:77, time:83.26, loss:0.56
Step:78, ACC:59.32, Iter:0, batch:78, time:84.62, loss:0.56
Step:79, ACC:59.32, Iter:0, batch:79, time:85.26, loss:0.66
Step:80, ACC:59.49, Iter:0, batch:80, time:86.16, loss:0.52
Step:81, ACC:59.66, Iter:0, batch:81, time:87.76, loss:0.57
Step:82, ACC:59.79, Iter:0, batch:82, time:88.50, loss:0.57
Step:83, ACC:59.97, Iter:0, batch:83, time:89.30, loss:0.55
Step:84, ACC:60.11, Iter:0, batch:84, time:89.91, loss:0.57
Step:85, ACC:60.23, Iter:0, batch:85, time:90.59, loss:0.58
Step:86, ACC:60.45, Iter:0, batch:86, time:92.11, loss:0.51
Step:87, ACC:60.58, Iter:0, batch:87, time:93.11, loss:0.55
Step:88, ACC:60.69, Iter:0, batch:88, time:94.16, loss:0.65
Step:89, ACC:60.73, Iter:0, batch:89, time:95.03, loss:0.58
Step:90, ACC:60.83, Iter:0, batch:90, time:96.61, loss:0.53
Step:91, ACC:60.94, Iter:0, batch:91, time:97.41, loss:0.54
Step:92, ACC:60.97, Iter:0, batch:92, time:98.47, loss:0.59
Step:93, ACC:60.97, Iter:0, batch:93, time:100.09, loss:0.63
Step:94, ACC:61.12, Iter:0, batch:94, time:101.10, loss:0.54
Step:95, ACC:61.23, Iter:0, batch:95, time:101.82, loss:0.57
Step:96, ACC:61.39, Iter:0, batch:96, time:102.62, loss:0.53
Step:97, ACC:61.56, Iter:0, batch:97, time:104.04, loss:0.54
Step:98, ACC:61.66, Iter:0, batch:98, time:104.94, loss:0.58
Step:99, ACC:61.72, Iter:0, batch:99, time:105.69, loss:0.58
Step:100, ACC:61.85, Iter:0, batch:100, time:107.19, loss:0.55
Step:101, ACC:61.92, Iter:0, batch:101, time:108.07, loss:0.60
Step:102, ACC:61.92, Iter:0, batch:102, time:108.70, loss:0.63
Step:103, ACC:62.05, Iter:0, batch:103, time:109.26, loss:0.52
Step:104, ACC:62.19, Iter:0, batch:104, time:110.00, loss:0.55
Step:105, ACC:62.38, Iter:0, batch:105, time:111.28, loss:0.51
Step:106, ACC:62.47, Iter:0, batch:106, time:112.16, loss:0.49
Step:107, ACC:62.66, Iter:0, batch:107, time:113.09, loss:0.48
Step:108, ACC:62.87, Iter:0, batch:108, time:115.34, loss:0.46
Step:109, ACC:62.97, Iter:0, batch:109, time:116.41, loss:0.51
Step:110, ACC:63.09, Iter:0, batch:110, time:117.58, loss:0.50
Step:111, ACC:63.24, Iter:0, batch:111, time:119.15, loss:0.48
