nohup: ignoring input
GPU available:  True
CuDNN: 
 True
Loaded config file sucessfully.
data_dir dataset/tpe/10000
pretrained_embeddings_file dataset/tpe/10000/ojclone-4000-tpe.vec
train_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/8w/tpe/train_tpe_8w.txt
dev_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/8w/tpe/dev_tpe_8w.txt
test_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/8w/tpe/dev_tpe_8w.txt
min_occur_count 0
save_dir outmodel/tpe/ojc-clone-noclone-1-1/8w
config_file outmodel/tpe/ojc-clone-noclone-1-1/8w/config.cfg
save_model_path outmodel/tpe/ojc-clone-noclone-1-1/8w/model
save_vocab_path outmodel/tpe/ojc-clone-noclone-1-1/8w/vocab
load_dir outmodel/tpe/ojc-clone-noclone-1-1/8w
load_model_path outmodel/tpe/ojc-clone-noclone-1-1/8w/model
load_vocab_path outmodel/tpe/ojc-clone-noclone-1-1/8w/vocab
lstm_layers 1
word_dims 100
tag_dims 100
dropout_emb 0.33
lstm_hiddens 100
dropout_lstm_input 0.33
dropout_lstm_hidden 0.33
mlp_arc_size 500
mlp_rel_size 100
dropout_mlp 0.33
use_cosine 0
learning_rate 2e-3
decay .75
decay_steps 1000
beta_1 .9
beta_2 .9
epsilon 1e-12
clip 1.0
num_buckets_train 40
num_buckets_valid 10
num_buckets_test 10
train_iters 50
train_batch_size 64
test_batch_size 64
validate_every 700
update_every 1
save_after 1
Total num: 79895
Vocab info: #output tags 2
Total words: 5907

The dim of pretrained embeddings: 100

GPU ID:0

GPU using status:  True
100 200
Orthogonal pretrainer loss: 7.80e-31
100 200
Orthogonal pretrainer loss: 7.10e-31
2 200
Orthogonal pretrainer loss: 5.73e+00
<function Module.cuda.<locals>.<lambda> at 0x7fb18af5d680>
Always in cpu: function disabled
Total num: 79895
Total num: 26624
Iteration: 0, total batch num: 1249
Step:0, ACC:42.19, Iter:0, batch:0, time:1.18, loss:0.70
Step:1, ACC:42.19, Iter:0, batch:1, time:2.82, loss:0.69
Step:2, ACC:44.27, Iter:0, batch:2, time:3.90, loss:0.69
Step:3, ACC:45.31, Iter:0, batch:3, time:4.57, loss:0.69
Step:4, ACC:46.25, Iter:0, batch:4, time:6.03, loss:0.69
Step:5, ACC:47.40, Iter:0, batch:5, time:6.93, loss:0.69
Step:6, ACC:48.66, Iter:0, batch:6, time:7.71, loss:0.69
Step:7, ACC:48.44, Iter:0, batch:7, time:8.43, loss:0.69
Step:8, ACC:48.78, Iter:0, batch:8, time:10.12, loss:0.69
Step:9, ACC:48.59, Iter:0, batch:9, time:10.87, loss:0.69
Step:10, ACC:49.43, Iter:0, batch:10, time:11.52, loss:0.69
Step:11, ACC:50.00, Iter:0, batch:11, time:12.10, loss:0.69
Step:12, ACC:50.48, Iter:0, batch:12, time:13.87, loss:0.69
Step:13, ACC:51.67, Iter:0, batch:13, time:14.36, loss:0.68
Step:14, ACC:52.50, Iter:0, batch:14, time:15.13, loss:0.69
Step:15, ACC:53.22, Iter:0, batch:15, time:15.91, loss:0.68
Step:16, ACC:53.95, Iter:0, batch:16, time:16.65, loss:0.68
Step:17, ACC:53.82, Iter:0, batch:17, time:18.16, loss:0.69
Step:18, ACC:53.87, Iter:0, batch:18, time:18.73, loss:0.68
Step:19, ACC:53.44, Iter:0, batch:19, time:19.50, loss:0.69
Step:20, ACC:53.57, Iter:0, batch:20, time:20.20, loss:0.69
Step:21, ACC:53.41, Iter:0, batch:21, time:21.74, loss:0.69
Step:22, ACC:53.40, Iter:0, batch:22, time:22.79, loss:0.68
Step:23, ACC:53.78, Iter:0, batch:23, time:23.72, loss:0.68
Step:24, ACC:54.00, Iter:0, batch:24, time:24.72, loss:0.69
Step:25, ACC:54.45, Iter:0, batch:25, time:25.69, loss:0.66
Step:26, ACC:54.46, Iter:0, batch:26, time:27.21, loss:0.70
Step:27, ACC:54.91, Iter:0, batch:27, time:27.97, loss:0.67
Step:28, ACC:54.90, Iter:0, batch:28, time:28.85, loss:0.68
Step:29, ACC:55.10, Iter:0, batch:29, time:29.98, loss:0.66
Step:30, ACC:55.04, Iter:0, batch:30, time:31.63, loss:0.67
Step:31, ACC:55.08, Iter:0, batch:31, time:32.39, loss:0.68
Step:32, ACC:55.26, Iter:0, batch:32, time:33.10, loss:0.68
Step:33, ACC:55.38, Iter:0, batch:33, time:33.83, loss:0.67
Step:34, ACC:55.36, Iter:0, batch:34, time:35.34, loss:0.66
Step:35, ACC:55.47, Iter:0, batch:35, time:36.31, loss:0.65
Step:36, ACC:55.53, Iter:0, batch:36, time:37.13, loss:0.66
Step:37, ACC:55.55, Iter:0, batch:37, time:38.76, loss:0.68
