nohup: ignoring input
GPU available:  True
CuDNN: 
 True
Loaded config file sucessfully.
data_dir dataset/tpe/10000
pretrained_embeddings_file dataset/tpe/10000/ojclone-4000-tpe.vec
train_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/10w/tpe/train_tpe_10w.txt
dev_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/10w/tpe/dev_tpe_10w.txt
test_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-1/10w/tpe/dev_tpe_10w.txt
min_occur_count 0
save_dir outmodel/tpe/ojc-clone-noclone-1-1/10w
config_file outmodel/tpe/ojc-clone-noclone-1-1/10w/config.cfg
save_model_path outmodel/tpe/ojc-clone-noclone-1-1/10w/model
save_vocab_path outmodel/tpe/ojc-clone-noclone-1-1/10w/vocab
load_dir outmodel/tpe/ojc-clone-noclone-1-1/10w
load_model_path outmodel/tpe/ojc-clone-noclone-1-1/10w/model
load_vocab_path outmodel/tpe/ojc-clone-noclone-1-1/10w/vocab
lstm_layers 1
word_dims 100
tag_dims 100
dropout_emb 0.33
lstm_hiddens 100
dropout_lstm_input 0.33
dropout_lstm_hidden 0.33
mlp_arc_size 500
mlp_rel_size 100
dropout_mlp 0.33
use_cosine 0
learning_rate 2e-3
decay .75
decay_steps 1000
beta_1 .9
beta_2 .9
epsilon 1e-12
clip 1.0
num_buckets_train 40
num_buckets_valid 10
num_buckets_test 10
train_iters 50
train_batch_size 64
test_batch_size 64
validate_every 700
update_every 1
save_after 1
Total num: 99869
Vocab info: #output tags 2
Total words: 5907

The dim of pretrained embeddings: 100

GPU ID:0

GPU using status:  True
100 200
Orthogonal pretrainer loss: 7.80e-31
100 200
Orthogonal pretrainer loss: 7.10e-31
2 200
Orthogonal pretrainer loss: 5.73e+00
<function Module.cuda.<locals>.<lambda> at 0x7f75b803c5f0>
Always in cpu: function disabled
Total num: 99869
Total num: 33289
Iteration: 0, total batch num: 1561
Step:0, ACC:37.50, Iter:0, batch:0, time:1.88, loss:0.70
Step:1, ACC:43.75, Iter:0, batch:1, time:2.69, loss:0.69
Step:2, ACC:50.00, Iter:0, batch:2, time:3.48, loss:0.69
Step:3, ACC:48.05, Iter:0, batch:3, time:4.39, loss:0.70
Step:4, ACC:45.62, Iter:0, batch:4, time:5.04, loss:0.70
Step:5, ACC:47.92, Iter:0, batch:5, time:6.74, loss:0.69
Step:6, ACC:47.32, Iter:0, batch:6, time:7.60, loss:0.69
Step:7, ACC:47.66, Iter:0, batch:7, time:8.66, loss:0.69
Step:8, ACC:48.09, Iter:0, batch:8, time:9.24, loss:0.69
Step:9, ACC:48.59, Iter:0, batch:9, time:11.01, loss:0.69
Step:10, ACC:49.29, Iter:0, batch:10, time:11.91, loss:0.69
Step:11, ACC:49.22, Iter:0, batch:11, time:12.85, loss:0.69
Step:12, ACC:49.04, Iter:0, batch:12, time:14.08, loss:0.69
Step:13, ACC:49.11, Iter:0, batch:13, time:14.95, loss:0.69
Step:14, ACC:48.65, Iter:0, batch:14, time:17.20, loss:0.69
Step:15, ACC:48.63, Iter:0, batch:15, time:18.13, loss:0.69
Step:16, ACC:48.99, Iter:0, batch:16, time:19.01, loss:0.69
Step:17, ACC:49.57, Iter:0, batch:17, time:19.97, loss:0.69
Step:18, ACC:49.84, Iter:0, batch:18, time:21.49, loss:0.68
Step:19, ACC:49.92, Iter:0, batch:19, time:24.16, loss:0.68
Step:20, ACC:50.37, Iter:0, batch:20, time:25.56, loss:0.67
Step:21, ACC:50.64, Iter:0, batch:21, time:27.04, loss:0.68
Step:22, ACC:50.75, Iter:0, batch:22, time:28.39, loss:0.68
Step:23, ACC:50.72, Iter:0, batch:23, time:30.98, loss:0.67
Step:24, ACC:50.44, Iter:0, batch:24, time:31.93, loss:0.69
Step:25, ACC:50.12, Iter:0, batch:25, time:33.17, loss:0.69
Step:26, ACC:50.12, Iter:0, batch:26, time:33.92, loss:0.68
Step:27, ACC:50.00, Iter:0, batch:27, time:36.47, loss:0.68
Step:28, ACC:49.62, Iter:0, batch:28, time:37.39, loss:0.71
Step:29, ACC:49.84, Iter:0, batch:29, time:38.44, loss:0.66
Step:30, ACC:50.05, Iter:0, batch:30, time:39.42, loss:0.68
Step:31, ACC:50.15, Iter:0, batch:31, time:40.32, loss:0.68
Step:32, ACC:50.38, Iter:0, batch:32, time:42.49, loss:0.65
Step:33, ACC:50.28, Iter:0, batch:33, time:43.41, loss:0.68
Step:34, ACC:50.45, Iter:0, batch:34, time:44.58, loss:0.66
Step:35, ACC:50.48, Iter:0, batch:35, time:45.39, loss:0.67
Step:36, ACC:50.34, Iter:0, batch:36, time:46.23, loss:0.68
Step:37, ACC:50.62, Iter:0, batch:37, time:48.30, loss:0.66
Step:38, ACC:50.92, Iter:0, batch:38, time:49.16, loss:0.66
Step:39, ACC:51.33, Iter:0, batch:39, time:49.85, loss:0.65
Step:40, ACC:51.56, Iter:0, batch:40, time:50.56, loss:0.65
Step:41, ACC:51.82, Iter:0, batch:41, time:51.37, loss:0.64
Step:42, ACC:51.82, Iter:0, batch:42, time:53.70, loss:0.67
Step:43, ACC:51.81, Iter:0, batch:43, time:54.53, loss:0.68
Step:44, ACC:51.88, Iter:0, batch:44, time:55.25, loss:0.67
Step:45, ACC:52.24, Iter:0, batch:45, time:55.94, loss:0.58
Step:46, ACC:52.43, Iter:0, batch:46, time:56.92, loss:0.64
