nohup: ignoring input
GPU available:  True
CuDNN: 
 True
Loaded config file sucessfully.
data_dir dataset/tpe/10000
pretrained_embeddings_file dataset/tpe/10000/ojclone-4000-tpe.vec
train_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/1w/tpe/train_tpe_1w.txt
dev_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/1w/tpe/dev_tpe_1w.txt
test_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/1w/tpe/dev_tpe_1w.txt
min_occur_count 0
save_dir outmodel/tpe/ojc-clone-noclone-1-14/1w
config_file outmodel/tpe/ojc-clone-noclone-1-14/1w/config.cfg
save_model_path outmodel/tpe/ojc-clone-noclone-1-14/1w/model
save_vocab_path outmodel/tpe/ojc-clone-noclone-1-14/1w/vocab
load_dir outmodel/tpe/ojc-clone-noclone-1-14/1w
load_model_path outmodel/tpe/ojc-clone-noclone-1-14/1w/model
load_vocab_path outmodel/tpe/ojc-clone-noclone-1-14/1w/vocab
lstm_layers 1
word_dims 100
tag_dims 100
dropout_emb 0.33
lstm_hiddens 100
dropout_lstm_input 0.33
dropout_lstm_hidden 0.33
mlp_arc_size 500
mlp_rel_size 100
dropout_mlp 0.33
use_cosine 0
learning_rate 2e-3
decay .75
decay_steps 1000
beta_1 .9
beta_2 .9
epsilon 1e-12
clip 1.0
num_buckets_train 40
num_buckets_valid 10
num_buckets_test 10
train_iters 50
train_batch_size 64
test_batch_size 64
validate_every 700
update_every 1
save_after 1
Total num: 9986
Vocab info: #output tags 2
Total words: 5907

The dim of pretrained embeddings: 100

GPU ID:0

GPU using status:  True
100 200
Orthogonal pretrainer loss: 7.80e-31
100 200
Orthogonal pretrainer loss: 7.10e-31
2 200
Orthogonal pretrainer loss: 5.73e+00
<function Module.cuda.<locals>.<lambda> at 0x7f1136d045f0>
Always in cpu: function disabled
Total num: 9986
Total num: 3330
Iteration: 0, total batch num: 157
Step:0, ACC:65.62, Iter:0, batch:0, time:0.90, loss:0.68
Step:1, ACC:65.15, Iter:0, batch:1, time:1.03, loss:0.70
Step:2, ACC:77.69, Iter:0, batch:2, time:1.64, loss:0.67
Step:3, ACC:84.02, Iter:0, batch:3, time:2.20, loss:0.64
Step:4, ACC:86.05, Iter:0, batch:4, time:2.85, loss:0.63
Step:5, ACC:88.20, Iter:0, batch:5, time:3.87, loss:0.60
Step:6, ACC:89.12, Iter:0, batch:6, time:4.76, loss:0.59
Step:7, ACC:90.00, Iter:0, batch:7, time:5.79, loss:0.55
Step:8, ACC:90.86, Iter:0, batch:8, time:6.83, loss:0.53
Step:9, ACC:91.35, Iter:0, batch:9, time:7.67, loss:0.45
Step:10, ACC:91.90, Iter:0, batch:10, time:8.49, loss:0.42
Step:11, ACC:92.07, Iter:0, batch:11, time:9.22, loss:0.41
Step:12, ACC:92.21, Iter:0, batch:12, time:10.03, loss:0.40
Step:13, ACC:92.57, Iter:0, batch:13, time:10.70, loss:0.31
Step:14, ACC:92.54, Iter:0, batch:14, time:12.08, loss:0.29
Step:15, ACC:92.10, Iter:0, batch:15, time:12.76, loss:0.43
Step:16, ACC:92.11, Iter:0, batch:16, time:13.39, loss:0.35
Step:17, ACC:91.93, Iter:0, batch:17, time:14.22, loss:0.41
Step:18, ACC:91.94, Iter:0, batch:18, time:14.84, loss:0.32
Step:19, ACC:91.79, Iter:0, batch:19, time:15.86, loss:0.40
Step:20, ACC:91.89, Iter:0, batch:20, time:16.98, loss:0.23
Step:21, ACC:91.98, Iter:0, batch:21, time:17.69, loss:0.24
Step:22, ACC:92.20, Iter:0, batch:22, time:18.76, loss:0.15
Step:23, ACC:92.27, Iter:0, batch:23, time:19.47, loss:0.23
Step:24, ACC:92.33, Iter:0, batch:24, time:20.19, loss:0.26
Step:25, ACC:92.32, Iter:0, batch:25, time:21.00, loss:0.28
Step:26, ACC:92.62, Iter:0, batch:26, time:21.68, loss:0.06
Step:27, ACC:92.72, Iter:0, batch:27, time:22.72, loss:0.24
Step:28, ACC:92.59, Iter:0, batch:28, time:23.47, loss:0.41
Step:29, ACC:92.36, Iter:0, batch:29, time:24.14, loss:0.47
Step:30, ACC:92.51, Iter:0, batch:30, time:24.95, loss:0.13
Step:31, ACC:92.45, Iter:0, batch:31, time:25.96, loss:0.35
Step:32, ACC:92.49, Iter:0, batch:32, time:26.81, loss:0.29
Step:33, ACC:92.53, Iter:0, batch:33, time:27.74, loss:0.30
Step:34, ACC:92.56, Iter:0, batch:34, time:28.59, loss:0.23
Step:35, ACC:92.60, Iter:0, batch:35, time:29.34, loss:0.29
Step:36, ACC:92.63, Iter:0, batch:36, time:30.32, loss:0.23
Step:37, ACC:92.66, Iter:0, batch:37, time:31.38, loss:0.24
Step:38, ACC:92.60, Iter:0, batch:38, time:32.45, loss:0.34
Step:39, ACC:92.59, Iter:0, batch:39, time:33.68, loss:0.24
Step:40, ACC:92.66, Iter:0, batch:40, time:34.28, loss:0.19
Step:41, ACC:92.57, Iter:0, batch:41, time:35.37, loss:0.30
Step:42, ACC:92.64, Iter:0, batch:42, time:36.02, loss:0.19
Step:43, ACC:92.70, Iter:0, batch:43, time:36.81, loss:0.23
Step:44, ACC:92.69, Iter:0, batch:44, time:37.89, loss:0.25
Step:45, ACC:92.75, Iter:0, batch:45, time:38.84, loss:0.20
Step:46, ACC:92.77, Iter:0, batch:46, time:39.87, loss:0.25
Step:47, ACC:92.66, Iter:0, batch:47, time:40.80, loss:0.36
Step:48, ACC:92.71, Iter:0, batch:48, time:42.17, loss:0.19
Step:49, ACC:92.64, Iter:0, batch:49, time:43.01, loss:0.37
Step:50, ACC:92.60, Iter:0, batch:50, time:43.65, loss:0.37
Step:51, ACC:92.59, Iter:0, batch:51, time:44.64, loss:0.26
Step:52, ACC:92.61, Iter:0, batch:52, time:45.36, loss:0.21
Step:53, ACC:92.52, Iter:0, batch:53, time:46.25, loss:0.39
Step:54, ACC:92.28, Iter:0, batch:54, time:47.46, loss:0.59
Step:55, ACC:92.36, Iter:0, batch:55, time:48.49, loss:0.16
Step:56, ACC:92.41, Iter:0, batch:56, time:49.27, loss:0.21
Step:57, ACC:92.49, Iter:0, batch:57, time:50.08, loss:0.18
Step:58, ACC:92.54, Iter:0, batch:58, time:51.09, loss:0.25
Step:59, ACC:92.59, Iter:0, batch:59, time:51.88, loss:0.20
Step:60, ACC:92.63, Iter:0, batch:60, time:52.71, loss:0.21
Step:61, ACC:92.52, Iter:0, batch:61, time:53.42, loss:0.41
Step:62, ACC:92.54, Iter:0, batch:62, time:54.20, loss:0.25
Step:63, ACC:92.54, Iter:0, batch:63, time:54.92, loss:0.30
Step:64, ACC:92.53, Iter:0, batch:64, time:55.55, loss:0.26
Step:65, ACC:92.58, Iter:0, batch:65, time:56.34, loss:0.17
