nohup: ignoring input
GPU available:  True
CuDNN: 
 True
Loaded config file sucessfully.
data_dir dataset/tpe/10000
pretrained_embeddings_file dataset/tpe/10000/ojclone-4000-tpe.vec
train_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/3w/tpe/train_tpe_3w.txt
dev_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/3w/tpe/dev_tpe_3w.txt
test_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/3w/tpe/dev_tpe_3w.txt
min_occur_count 0
save_dir outmodel/tpe/ojc-clone-noclone-1-14/3w
config_file outmodel/tpe/ojc-clone-noclone-1-14/3w/config.cfg
save_model_path outmodel/tpe/ojc-clone-noclone-1-14/3w/model
save_vocab_path outmodel/tpe/ojc-clone-noclone-1-14/3w/vocab
load_dir outmodel/tpe/ojc-clone-noclone-1-14/3w
load_model_path outmodel/tpe/ojc-clone-noclone-1-14/3w/model
load_vocab_path outmodel/tpe/ojc-clone-noclone-1-14/3w/vocab
lstm_layers 1
word_dims 100
tag_dims 100
dropout_emb 0.33
lstm_hiddens 100
dropout_lstm_input 0.33
dropout_lstm_hidden 0.33
mlp_arc_size 500
mlp_rel_size 100
dropout_mlp 0.33
use_cosine 0
learning_rate 2e-3
decay .75
decay_steps 1000
beta_1 .9
beta_2 .9
epsilon 1e-12
clip 1.0
num_buckets_train 40
num_buckets_valid 10
num_buckets_test 10
train_iters 50
train_batch_size 64
test_batch_size 64
validate_every 700
update_every 1
save_after 1
Total num: 29950
Vocab info: #output tags 2
Total words: 5907

The dim of pretrained embeddings: 100

GPU ID:0

GPU using status:  True
100 200
Orthogonal pretrainer loss: 7.80e-31
100 200
Orthogonal pretrainer loss: 7.10e-31
2 200
Orthogonal pretrainer loss: 5.73e+00
<function Module.cuda.<locals>.<lambda> at 0x7f53e698a5f0>
Always in cpu: function disabled
Total num: 29950
Total num: 9990
Iteration: 0, total batch num: 468
Step:0, ACC:67.19, Iter:0, batch:0, time:1.39, loss:0.69
Step:1, ACC:76.56, Iter:0, batch:1, time:2.82, loss:0.67
Step:2, ACC:80.21, Iter:0, batch:2, time:3.91, loss:0.66
Step:3, ACC:83.20, Iter:0, batch:3, time:5.18, loss:0.64
Step:4, ACC:86.25, Iter:0, batch:4, time:5.93, loss:0.61
Step:5, ACC:87.24, Iter:0, batch:5, time:6.98, loss:0.60
Step:6, ACC:88.62, Iter:0, batch:6, time:8.53, loss:0.55
Step:7, ACC:89.06, Iter:0, batch:7, time:9.85, loss:0.54
Step:8, ACC:88.72, Iter:0, batch:8, time:11.17, loss:0.56
Step:9, ACC:89.22, Iter:0, batch:9, time:12.18, loss:0.45
Step:10, ACC:89.91, Iter:0, batch:10, time:12.97, loss:0.38
Step:11, ACC:89.84, Iter:0, batch:11, time:14.15, loss:0.44
Step:12, ACC:90.26, Iter:0, batch:12, time:15.16, loss:0.37
Step:13, ACC:90.51, Iter:0, batch:13, time:16.57, loss:0.35
Step:14, ACC:91.15, Iter:0, batch:14, time:18.01, loss:0.17
Step:15, ACC:91.41, Iter:0, batch:15, time:19.28, loss:0.26
Step:16, ACC:91.45, Iter:0, batch:16, time:20.48, loss:0.39
Step:17, ACC:91.75, Iter:0, batch:17, time:21.67, loss:0.23
Step:18, ACC:91.86, Iter:0, batch:18, time:22.48, loss:0.29
Step:19, ACC:91.95, Iter:0, batch:19, time:23.44, loss:0.22
Step:20, ACC:92.11, Iter:0, batch:20, time:24.59, loss:0.19
Step:21, ACC:91.97, Iter:0, batch:21, time:25.45, loss:0.43
Step:22, ACC:92.26, Iter:0, batch:22, time:26.69, loss:0.12
Step:23, ACC:92.25, Iter:0, batch:23, time:27.98, loss:0.38
Step:24, ACC:92.12, Iter:0, batch:24, time:28.87, loss:0.34
Step:25, ACC:92.31, Iter:0, batch:25, time:29.88, loss:0.21
Step:26, ACC:92.30, Iter:0, batch:26, time:31.05, loss:0.25
Step:27, ACC:92.13, Iter:0, batch:27, time:31.90, loss:0.42
Step:28, ACC:92.13, Iter:0, batch:28, time:33.20, loss:0.35
