nohup: ignoring input
GPU available:  True
CuDNN: 
 True
Loaded config file sucessfully.
data_dir dataset/tpe/10000
pretrained_embeddings_file dataset/tpe/10000/ojclone-4000-tpe.vec
train_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/4w/tpe/train_tpe_4w.txt
dev_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/4w/tpe/dev_tpe_4w.txt
test_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/4w/tpe/dev_tpe_4w.txt
min_occur_count 0
save_dir outmodel/tpe/ojc-clone-noclone-1-14/4w
config_file outmodel/tpe/ojc-clone-noclone-1-14/4w/config.cfg
save_model_path outmodel/tpe/ojc-clone-noclone-1-14/4w/model
save_vocab_path outmodel/tpe/ojc-clone-noclone-1-14/4w/vocab
load_dir outmodel/tpe/ojc-clone-noclone-1-14/4w
load_model_path outmodel/tpe/ojc-clone-noclone-1-14/4w/model
load_vocab_path outmodel/tpe/ojc-clone-noclone-1-14/4w/vocab
lstm_layers 1
word_dims 100
tag_dims 100
dropout_emb 0.33
lstm_hiddens 100
dropout_lstm_input 0.33
dropout_lstm_hidden 0.33
mlp_arc_size 500
mlp_rel_size 100
dropout_mlp 0.33
use_cosine 0
learning_rate 2e-3
decay .75
decay_steps 1000
beta_1 .9
beta_2 .9
epsilon 1e-12
clip 1.0
num_buckets_train 40
num_buckets_valid 10
num_buckets_test 10
train_iters 50
train_batch_size 64
test_batch_size 64
validate_every 700
update_every 1
save_after 1
Total num: 39939
Vocab info: #output tags 2
Total words: 5907

The dim of pretrained embeddings: 100

GPU ID:0

GPU using status:  True
100 200
Orthogonal pretrainer loss: 7.80e-31
100 200
Orthogonal pretrainer loss: 7.10e-31
2 200
Orthogonal pretrainer loss: 5.73e+00
<function Module.cuda.<locals>.<lambda> at 0x7efd778375f0>
Always in cpu: function disabled
Total num: 39939
Total num: 13313
Iteration: 0, total batch num: 625
Step:0, ACC:59.38, Iter:0, batch:0, time:1.29, loss:0.69
Step:1, ACC:78.12, Iter:0, batch:1, time:1.92, loss:0.68
Step:2, ACC:83.85, Iter:0, batch:2, time:3.26, loss:0.65
Step:3, ACC:87.11, Iter:0, batch:3, time:4.26, loss:0.63
Step:4, ACC:88.12, Iter:0, batch:4, time:5.41, loss:0.62
Step:5, ACC:89.58, Iter:0, batch:5, time:6.22, loss:0.59
Step:6, ACC:90.40, Iter:0, batch:6, time:7.40, loss:0.56
Step:7, ACC:91.02, Iter:0, batch:7, time:8.72, loss:0.53
Step:8, ACC:91.32, Iter:0, batch:8, time:9.42, loss:0.49
Step:9, ACC:91.41, Iter:0, batch:9, time:10.23, loss:0.43
Step:10, ACC:91.62, Iter:0, batch:10, time:11.40, loss:0.43
Step:11, ACC:92.19, Iter:0, batch:11, time:12.30, loss:0.32
Step:12, ACC:92.31, Iter:0, batch:12, time:13.61, loss:0.32
Step:13, ACC:92.52, Iter:0, batch:13, time:14.52, loss:0.25
Step:14, ACC:92.71, Iter:0, batch:14, time:15.67, loss:0.26
Step:15, ACC:92.58, Iter:0, batch:15, time:16.22, loss:0.40
Step:16, ACC:92.46, Iter:0, batch:16, time:16.89, loss:0.46
Step:17, ACC:92.71, Iter:0, batch:17, time:17.92, loss:0.22
Step:18, ACC:92.93, Iter:0, batch:18, time:18.87, loss:0.20
Step:19, ACC:92.97, Iter:0, batch:19, time:20.24, loss:0.26
Step:20, ACC:92.71, Iter:0, batch:20, time:21.40, loss:0.56
Step:21, ACC:92.83, Iter:0, batch:21, time:22.33, loss:0.21
Step:22, ACC:92.93, Iter:0, batch:22, time:23.86, loss:0.25
Step:23, ACC:92.97, Iter:0, batch:23, time:25.49, loss:0.28
Step:24, ACC:92.88, Iter:0, batch:24, time:26.27, loss:0.34
Step:25, ACC:92.85, Iter:0, batch:25, time:27.51, loss:0.33
Step:26, ACC:93.00, Iter:0, batch:26, time:28.87, loss:0.14
Step:27, ACC:93.08, Iter:0, batch:27, time:29.83, loss:0.25
Step:28, ACC:93.00, Iter:0, batch:28, time:31.08, loss:0.40
Step:29, ACC:93.02, Iter:0, batch:29, time:31.90, loss:0.24
Step:30, ACC:92.94, Iter:0, batch:30, time:33.16, loss:0.31
Step:31, ACC:93.02, Iter:0, batch:31, time:33.96, loss:0.18
Step:32, ACC:92.99, Iter:0, batch:32, time:34.83, loss:0.27
Step:33, ACC:93.11, Iter:0, batch:33, time:36.30, loss:0.17
Step:34, ACC:93.12, Iter:0, batch:34, time:37.50, loss:0.23
Step:35, ACC:93.27, Iter:0, batch:35, time:38.62, loss:0.15
Step:36, ACC:93.37, Iter:0, batch:36, time:39.37, loss:0.18
Step:37, ACC:93.46, Iter:0, batch:37, time:40.15, loss:0.17
Step:38, ACC:93.63, Iter:0, batch:38, time:41.34, loss:0.07
Step:39, ACC:93.52, Iter:0, batch:39, time:42.20, loss:0.33
Step:40, ACC:93.48, Iter:0, batch:40, time:43.45, loss:0.27
Step:41, ACC:93.38, Iter:0, batch:41, time:44.22, loss:0.40
Step:42, ACC:93.31, Iter:0, batch:42, time:45.39, loss:0.37
