nohup: ignoring input
GPU available:  True
CuDNN: 
 True
Loaded config file sucessfully.
data_dir dataset/tpe/10000
pretrained_embeddings_file dataset/tpe/10000/ojclone-4000-tpe.vec
train_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/5w/tpe/train_tpe_5w.txt
dev_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/5w/tpe/dev_tpe_5w.txt
test_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/5w/tpe/dev_tpe_5w.txt
min_occur_count 0
save_dir outmodel/tpe/ojc-clone-noclone-1-14/5w
config_file outmodel/tpe/ojc-clone-noclone-1-14/5w/config.cfg
save_model_path outmodel/tpe/ojc-clone-noclone-1-14/5w/model
save_vocab_path outmodel/tpe/ojc-clone-noclone-1-14/5w/vocab
load_dir outmodel/tpe/ojc-clone-noclone-1-14/5w
load_model_path outmodel/tpe/ojc-clone-noclone-1-14/5w/model
load_vocab_path outmodel/tpe/ojc-clone-noclone-1-14/5w/vocab
lstm_layers 1
word_dims 100
tag_dims 100
dropout_emb 0.33
lstm_hiddens 100
dropout_lstm_input 0.33
dropout_lstm_hidden 0.33
mlp_arc_size 500
mlp_rel_size 100
dropout_mlp 0.33
use_cosine 0
learning_rate 2e-3
decay .75
decay_steps 1000
beta_1 .9
beta_2 .9
epsilon 1e-12
clip 1.0
num_buckets_train 40
num_buckets_valid 10
num_buckets_test 10
train_iters 50
train_batch_size 64
test_batch_size 64
validate_every 700
update_every 1
save_after 1
Total num: 49929
Vocab info: #output tags 2
Total words: 5907

The dim of pretrained embeddings: 100

GPU ID:0

GPU using status:  True
100 200
Orthogonal pretrainer loss: 7.80e-31
100 200
Orthogonal pretrainer loss: 7.10e-31
2 200
Orthogonal pretrainer loss: 5.73e+00
<function Module.cuda.<locals>.<lambda> at 0x7f5736dfe5f0>
Always in cpu: function disabled
Total num: 49929
Total num: 16651
Iteration: 0, total batch num: 781
Step:0, ACC:62.50, Iter:0, batch:0, time:1.13, loss:0.68
Step:1, ACC:80.47, Iter:0, batch:1, time:2.39, loss:0.67
Step:2, ACC:85.94, Iter:0, batch:2, time:3.16, loss:0.66
Step:3, ACC:87.11, Iter:0, batch:3, time:4.06, loss:0.64
Step:4, ACC:88.44, Iter:0, batch:4, time:5.75, loss:0.61
Step:5, ACC:89.58, Iter:0, batch:5, time:7.22, loss:0.58
Step:6, ACC:90.62, Iter:0, batch:6, time:8.35, loss:0.55
Step:7, ACC:91.21, Iter:0, batch:7, time:9.83, loss:0.52
Step:8, ACC:91.15, Iter:0, batch:8, time:10.68, loss:0.52
Step:9, ACC:91.88, Iter:0, batch:9, time:12.63, loss:0.40
Step:10, ACC:92.33, Iter:0, batch:10, time:13.68, loss:0.34
Step:11, ACC:92.45, Iter:0, batch:11, time:15.44, loss:0.36
Step:12, ACC:92.43, Iter:0, batch:12, time:16.47, loss:0.36
Step:13, ACC:92.41, Iter:0, batch:13, time:17.24, loss:0.32
Step:14, ACC:92.19, Iter:0, batch:14, time:18.33, loss:0.48
Step:15, ACC:92.48, Iter:0, batch:15, time:19.78, loss:0.22
Step:16, ACC:92.65, Iter:0, batch:16, time:20.76, loss:0.25
Step:17, ACC:92.62, Iter:0, batch:17, time:21.93, loss:0.28
Step:18, ACC:92.76, Iter:0, batch:18, time:23.34, loss:0.24
Step:19, ACC:92.58, Iter:0, batch:19, time:24.34, loss:0.53
Step:20, ACC:92.63, Iter:0, batch:20, time:25.60, loss:0.24
Step:21, ACC:92.61, Iter:0, batch:21, time:26.32, loss:0.38
Step:22, ACC:92.60, Iter:0, batch:22, time:27.08, loss:0.31
Step:23, ACC:92.84, Iter:0, batch:23, time:27.77, loss:0.10
Step:24, ACC:92.81, Iter:0, batch:24, time:29.55, loss:0.27
Step:25, ACC:92.79, Iter:0, batch:25, time:30.64, loss:0.33
Step:26, ACC:92.82, Iter:0, batch:26, time:31.59, loss:0.28
Step:27, ACC:92.69, Iter:0, batch:27, time:33.17, loss:0.42
Step:28, ACC:92.83, Iter:0, batch:28, time:34.21, loss:0.16
Step:29, ACC:92.92, Iter:0, batch:29, time:35.58, loss:0.24
Step:30, ACC:92.84, Iter:0, batch:30, time:36.75, loss:0.34
Step:31, ACC:92.92, Iter:0, batch:31, time:37.74, loss:0.23
Step:32, ACC:92.95, Iter:0, batch:32, time:39.30, loss:0.24
Step:33, ACC:92.97, Iter:0, batch:33, time:40.00, loss:0.26
Step:34, ACC:93.08, Iter:0, batch:34, time:41.00, loss:0.14
Step:35, ACC:93.06, Iter:0, batch:35, time:42.33, loss:0.28
Step:36, ACC:93.16, Iter:0, batch:36, time:43.20, loss:0.16
Step:37, ACC:92.93, Iter:0, batch:37, time:44.70, loss:0.44
Step:38, ACC:92.91, Iter:0, batch:38, time:45.19, loss:0.33
Step:39, ACC:92.89, Iter:0, batch:39, time:46.19, loss:0.28
Step:40, ACC:92.95, Iter:0, batch:40, time:47.18, loss:0.21
Step:41, ACC:93.05, Iter:0, batch:41, time:48.57, loss:0.17
Step:42, ACC:93.18, Iter:0, batch:42, time:49.54, loss:0.14
Step:43, ACC:93.12, Iter:0, batch:43, time:51.15, loss:0.33
Step:44, ACC:93.06, Iter:0, batch:44, time:52.08, loss:0.34
Step:45, ACC:93.01, Iter:0, batch:45, time:52.76, loss:0.38
Step:46, ACC:93.02, Iter:0, batch:46, time:53.56, loss:0.20
Step:47, ACC:93.07, Iter:0, batch:47, time:55.02, loss:0.20
Step:48, ACC:93.09, Iter:0, batch:48, time:55.80, loss:0.26
Step:49, ACC:93.00, Iter:0, batch:49, time:57.36, loss:0.31
Step:50, ACC:93.05, Iter:0, batch:50, time:58.13, loss:0.21
Step:51, ACC:93.00, Iter:0, batch:51, time:58.92, loss:0.30
Step:52, ACC:92.90, Iter:0, batch:52, time:60.84, loss:0.42
