nohup: ignoring input
GPU available:  True
CuDNN: 
 True
Loaded config file sucessfully.
data_dir dataset/tpe/10000
pretrained_embeddings_file dataset/tpe/10000/ojclone-4000-tpe.vec
train_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/8w/tpe/train_tpe_8w.txt
dev_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/8w/tpe/dev_tpe_8w.txt
test_file /home/chengxiaoyun/our-data-ojc/choose_ojc_data/clone-noclone-ratio-1-14/8w/tpe/dev_tpe_8w.txt
min_occur_count 0
save_dir outmodel/tpe/ojc-clone-noclone-1-14/8w
config_file outmodel/tpe/ojc-clone-noclone-1-14/8w/config.cfg
save_model_path outmodel/tpe/ojc-clone-noclone-1-14/8w/model
save_vocab_path outmodel/tpe/ojc-clone-noclone-1-14/8w/vocab
load_dir outmodel/tpe/ojc-clone-noclone-1-14/8w
load_model_path outmodel/tpe/ojc-clone-noclone-1-14/8w/model
load_vocab_path outmodel/tpe/ojc-clone-noclone-1-14/8w/vocab
lstm_layers 1
word_dims 100
tag_dims 100
dropout_emb 0.33
lstm_hiddens 100
dropout_lstm_input 0.33
dropout_lstm_hidden 0.33
mlp_arc_size 500
mlp_rel_size 100
dropout_mlp 0.33
use_cosine 0
learning_rate 2e-3
decay .75
decay_steps 1000
beta_1 .9
beta_2 .9
epsilon 1e-12
clip 1.0
num_buckets_train 40
num_buckets_valid 10
num_buckets_test 10
train_iters 50
train_batch_size 64
test_batch_size 64
validate_every 700
update_every 1
save_after 1
Total num: 79896
Vocab info: #output tags 2
Total words: 5907

The dim of pretrained embeddings: 100

GPU ID:0

GPU using status:  True
100 200
Orthogonal pretrainer loss: 7.80e-31
100 200
Orthogonal pretrainer loss: 7.10e-31
2 200
Orthogonal pretrainer loss: 5.73e+00
<function Module.cuda.<locals>.<lambda> at 0x7f30ec3dd5f0>
Always in cpu: function disabled
Total num: 79896
Total num: 26635
Iteration: 0, total batch num: 1249
Step:0, ACC:59.38, Iter:0, batch:0, time:1.06, loss:0.69
Step:1, ACC:73.44, Iter:0, batch:1, time:2.40, loss:0.67
Step:2, ACC:79.69, Iter:0, batch:2, time:3.45, loss:0.65
Step:3, ACC:81.64, Iter:0, batch:3, time:4.87, loss:0.65
Step:4, ACC:83.75, Iter:0, batch:4, time:5.94, loss:0.63
Step:5, ACC:85.16, Iter:0, batch:5, time:7.45, loss:0.59
Step:6, ACC:86.38, Iter:0, batch:6, time:8.59, loss:0.56
Step:7, ACC:87.70, Iter:0, batch:7, time:9.61, loss:0.53
Step:8, ACC:87.85, Iter:0, batch:8, time:10.31, loss:0.52
Step:9, ACC:88.28, Iter:0, batch:9, time:11.90, loss:0.45
Step:10, ACC:88.92, Iter:0, batch:10, time:12.74, loss:0.40
Step:11, ACC:89.06, Iter:0, batch:11, time:13.44, loss:0.43
Step:12, ACC:89.30, Iter:0, batch:12, time:14.39, loss:0.33
Step:13, ACC:89.73, Iter:0, batch:13, time:16.24, loss:0.25
Step:14, ACC:89.79, Iter:0, batch:14, time:17.20, loss:0.35
Step:15, ACC:90.14, Iter:0, batch:15, time:18.29, loss:0.28
Step:16, ACC:90.35, Iter:0, batch:16, time:18.95, loss:0.25
Step:17, ACC:90.45, Iter:0, batch:17, time:20.66, loss:0.28
Step:18, ACC:90.46, Iter:0, batch:18, time:21.51, loss:0.37
Step:19, ACC:90.78, Iter:0, batch:19, time:22.28, loss:0.14
Step:20, ACC:91.00, Iter:0, batch:20, time:23.74, loss:0.26
Step:21, ACC:90.77, Iter:0, batch:21, time:24.41, loss:0.53
Step:22, ACC:91.03, Iter:0, batch:22, time:25.29, loss:0.18
Step:23, ACC:91.15, Iter:0, batch:23, time:26.52, loss:0.21
Step:24, ACC:91.25, Iter:0, batch:24, time:28.15, loss:0.22
Step:25, ACC:91.47, Iter:0, batch:25, time:29.14, loss:0.19
Step:26, ACC:91.38, Iter:0, batch:26, time:29.89, loss:0.37
Step:27, ACC:91.57, Iter:0, batch:27, time:30.78, loss:0.19
Step:28, ACC:91.65, Iter:0, batch:28, time:32.44, loss:0.20
Step:29, ACC:91.61, Iter:0, batch:29, time:33.35, loss:0.43
Step:30, ACC:91.83, Iter:0, batch:30, time:34.23, loss:0.11
Step:31, ACC:91.99, Iter:0, batch:31, time:35.15, loss:0.16
Step:32, ACC:91.95, Iter:0, batch:32, time:35.96, loss:0.38
Step:33, ACC:92.00, Iter:0, batch:33, time:37.41, loss:0.24
Step:34, ACC:91.88, Iter:0, batch:34, time:38.32, loss:0.39
Step:35, ACC:91.97, Iter:0, batch:35, time:38.95, loss:0.19
Step:36, ACC:91.89, Iter:0, batch:36, time:39.76, loss:0.35
Step:37, ACC:91.90, Iter:0, batch:37, time:41.41, loss:0.31
Step:38, ACC:91.87, Iter:0, batch:38, time:42.34, loss:0.33
Step:39, ACC:91.95, Iter:0, batch:39, time:43.08, loss:0.22
Step:40, ACC:91.96, Iter:0, batch:40, time:43.99, loss:0.32
Step:41, ACC:92.00, Iter:0, batch:41, time:45.55, loss:0.24
Step:42, ACC:92.15, Iter:0, batch:42, time:46.19, loss:0.14
Step:43, ACC:92.22, Iter:0, batch:43, time:46.90, loss:0.23
Step:44, ACC:92.22, Iter:0, batch:44, time:47.76, loss:0.32
Step:45, ACC:92.22, Iter:0, batch:45, time:48.27, loss:0.27
Step:46, ACC:92.29, Iter:0, batch:46, time:49.70, loss:0.22
Step:47, ACC:92.29, Iter:0, batch:47, time:50.20, loss:0.27
Step:48, ACC:92.38, Iter:0, batch:48, time:51.06, loss:0.18
Step:49, ACC:92.31, Iter:0, batch:49, time:51.82, loss:0.35
Step:50, ACC:92.43, Iter:0, batch:50, time:53.47, loss:0.11
Step:51, ACC:92.40, Iter:0, batch:51, time:54.31, loss:0.36
Step:52, ACC:92.48, Iter:0, batch:52, time:55.18, loss:0.15
Step:53, ACC:92.48, Iter:0, batch:53, time:56.70, loss:0.26
Step:54, ACC:92.56, Iter:0, batch:54, time:57.38, loss:0.16
Step:55, ACC:92.55, Iter:0, batch:55, time:58.07, loss:0.30
Step:56, ACC:92.63, Iter:0, batch:56, time:58.65, loss:0.18
Step:57, ACC:92.65, Iter:0, batch:57, time:59.41, loss:0.24
Step:58, ACC:92.69, Iter:0, batch:58, time:60.85, loss:0.21
Step:59, ACC:92.73, Iter:0, batch:59, time:61.57, loss:0.20
Step:60, ACC:92.73, Iter:0, batch:60, time:62.20, loss:0.30
Step:61, ACC:92.77, Iter:0, batch:61, time:62.89, loss:0.24
Step:62, ACC:92.76, Iter:0, batch:62, time:64.38, loss:0.27
Step:63, ACC:92.77, Iter:0, batch:63, time:65.39, loss:0.21
Step:64, ACC:92.84, Iter:0, batch:64, time:66.28, loss:0.15
Step:65, ACC:92.85, Iter:0, batch:65, time:67.01, loss:0.22
Step:66, ACC:92.86, Iter:0, batch:66, time:68.40, loss:0.26
Step:67, ACC:92.83, Iter:0, batch:67, time:69.18, loss:0.34
Step:68, ACC:92.87, Iter:0, batch:68, time:69.80, loss:0.19
Step:69, ACC:92.81, Iter:0, batch:69, time:70.65, loss:0.33
Step:70, ACC:92.85, Iter:0, batch:70, time:71.95, loss:0.17
Step:71, ACC:92.88, Iter:0, batch:71, time:72.51, loss:0.24
Step:72, ACC:92.89, Iter:0, batch:72, time:73.43, loss:0.23
Step:73, ACC:92.99, Iter:0, batch:73, time:74.16, loss:0.09
Step:74, ACC:92.94, Iter:0, batch:74, time:75.52, loss:0.34
Step:75, ACC:92.99, Iter:0, batch:75, time:76.24, loss:0.16
Step:76, ACC:92.96, Iter:0, batch:76, time:76.93, loss:0.32
Step:77, ACC:92.85, Iter:0, batch:77, time:77.67, loss:0.53
Step:78, ACC:92.90, Iter:0, batch:78, time:79.07, loss:0.16
Step:79, ACC:92.93, Iter:0, batch:79, time:79.74, loss:0.16
Step:80, ACC:92.77, Iter:0, batch:80, time:80.65, loss:0.53
Step:81, ACC:92.78, Iter:0, batch:81, time:81.25, loss:0.27
Step:82, ACC:92.79, Iter:0, batch:82, time:82.64, loss:0.28
Step:83, ACC:92.88, Iter:0, batch:83, time:83.37, loss:0.09
Step:84, ACC:92.87, Iter:0, batch:84, time:84.11, loss:0.27
Step:85, ACC:92.93, Iter:0, batch:85, time:84.82, loss:0.12
Step:86, ACC:93.00, Iter:0, batch:86, time:85.48, loss:0.12
Step:87, ACC:92.93, Iter:0, batch:87, time:86.89, loss:0.43
Step:88, ACC:92.94, Iter:0, batch:88, time:87.55, loss:0.28
Step:89, ACC:92.95, Iter:0, batch:89, time:88.14, loss:0.24
Step:90, ACC:92.98, Iter:0, batch:90, time:88.79, loss:0.21
Step:91, ACC:92.93, Iter:0, batch:91, time:90.34, loss:0.39
Step:92, ACC:92.98, Iter:0, batch:92, time:91.13, loss:0.13
Step:93, ACC:93.02, Iter:0, batch:93, time:91.86, loss:0.17
Step:94, ACC:92.99, Iter:0, batch:94, time:92.64, loss:0.36
Step:95, ACC:92.99, Iter:0, batch:95, time:94.01, loss:0.27
Step:96, ACC:92.98, Iter:0, batch:96, time:94.68, loss:0.32
Step:97, ACC:92.92, Iter:0, batch:97, time:95.37, loss:0.39
Step:98, ACC:92.93, Iter:0, batch:98, time:95.96, loss:0.23
Step:99, ACC:92.92, Iter:0, batch:99, time:96.63, loss:0.26
Step:100, ACC:92.90, Iter:0, batch:100, time:98.10, loss:0.30
Step:101, ACC:92.91, Iter:0, batch:101, time:98.75, loss:0.23
Step:102, ACC:92.96, Iter:0, batch:102, time:99.42, loss:0.15
Step:103, ACC:92.95, Iter:0, batch:103, time:101.06, loss:0.28
Step:104, ACC:92.98, Iter:0, batch:104, time:101.71, loss:0.19
Step:105, ACC:92.97, Iter:0, batch:105, time:102.41, loss:0.30
Step:106, ACC:92.99, Iter:0, batch:106, time:103.33, loss:0.20
Step:107, ACC:93.03, Iter:0, batch:107, time:103.96, loss:0.16
Step:108, ACC:92.96, Iter:0, batch:108, time:105.27, loss:0.41
