,NOIf,NOS,NOV,MDOA,NOL,CC,NOD,HD,HV,HE,NM,NOE,NOC,NOIter,NONo,NONK,MDON,SODON,MW,NONe,LC,FC,BC
NOIf,1.0,0.4863899665943005,0.32350695492783504,0.31139971151738066,0.5172426635832529,0.5923005540317088,0.03517387632389498,0.3970979170857117,0.40306518283260195,0.4017569930795963,0.3520292071800286,0.2204980692596871,0.025336932594979957,0.20747338500290954,0.45536323432599823,0.43921637218460025,0.49194974363424915,0.6991690103629193,0.40419338898854035,0.6183945161541463,0.1650385703682461,0.16151355948295007,0.17153905125550994
NOS,0.4863899665943005,1.0,0.28126303265984565,0.3587404641085216,0.8164719795426687,0.6575714877744011,0.027754399192601812,0.5440216401243262,0.5356727321899089,0.5004105171526207,0.5587040454373555,0.6731764234116028,0.1195917620192201,0.3735795526310937,0.8155851517360168,0.4873315164495646,0.18898743161503656,0.5726890584153579,0.7404087032699842,0.5936972570354303,0.22819954343382018,0.2194158421881127,0.24444214284731347
NOV,0.32350695492783504,0.28126303265984565,1.0,0.25460574809958164,0.36057081346602665,0.33050818083553885,0.03675910177825556,0.280208908546922,0.288159190217448,0.29032801617996756,0.2516132978247877,0.014362393159291274,-0.05844001697137994,0.3383902174098055,0.33641067169304456,0.4216856582459557,0.38553382640659517,0.40509841053649615,0.3074707955086067,0.3414618276229598,0.19718680150121737,0.19543355426135497,0.20246500527355643
MDOA,0.31139971151738066,0.3587404641085216,0.25460574809958164,1.0,0.37541563217447027,0.4259292842101865,0.050111847642302865,0.4611505178671592,0.4515694176486421,0.4429272369067353,0.4173248896439647,0.2580726386659328,0.09229978841774994,0.18774936235621048,0.3852824765141533,0.46685924343902246,0.18919576444264255,0.31621337328769683,0.23834152168057626,0.30228084297690466,0.1282783928977621,0.12356513634648922,0.1426835662526972
NOL,0.5172426635832529,0.8164719795426687,0.36057081346602665,0.37541563217447027,1.0,0.711617425970083,0.05461312956837109,0.5805162043073597,0.5772104398909271,0.5344787716969648,0.6057169679724431,0.5551622563146302,0.04806476671496232,0.3252398719127638,0.8021547260566336,0.5082190270919065,0.21368081680638867,0.5585922331145294,0.7268190328861128,0.5691480711232746,0.22451187895433217,0.21709814734135174,0.23779975182093543
CC,0.5923005540317088,0.6575714877744011,0.33050818083553885,0.4259292842101865,0.711617425970083,1.0,0.055730535501778554,0.693612392038432,0.6535866231592125,0.6190629002219499,0.7003661385792429,0.4184327129649459,0.048314557383239976,0.4221442174367461,0.6178306717480243,0.49491808509862883,0.29063703378964406,0.6818250790084032,0.5432784952902011,0.6751820605761079,0.2608248242380379,0.2544771446988413,0.27542225867937686
NOD,0.03517387632389498,0.027754399192601812,0.03675910177825556,0.050111847642302865,0.05461312956837109,0.055730535501778554,1.0,0.054243699623013,0.054188138541975295,0.05418520831408806,0.059132370663012114,0.010363704390635648,0.010358507077086762,0.00971753610703516,0.043752059333189444,0.04542262826155755,0.04585925738452445,0.023564686386083774,0.03544933665105368,0.019234353657390613,0.02707640933162291,0.027944479711621138,0.02695855826376414
HD,0.3970979170857117,0.5440216401243262,0.280208908546922,0.4611505178671592,0.5805162043073597,0.693612392038432,0.054243699623013,1.0,0.8347839792112106,0.8220783845176843,0.6412847715863902,0.40713809478937246,0.03390909880162304,0.30594566105027254,0.5291096404326691,0.41558070130139696,0.1561449381079142,0.45783637128836746,0.4377148460610843,0.486339236245106,0.20851833457207558,0.20143112797118612,0.2252343423102344
HV,0.40306518283260195,0.5356727321899089,0.288159190217448,0.4515694176486421,0.5772104398909271,0.6535866231592125,0.054188138541975295,0.8347839792112106,1.0,0.8957902228790257,0.5817555293466574,0.40343128857044697,0.019347592590283545,0.27528320553425034,0.5317455278264628,0.40006189935632963,0.1736080021495417,0.44133205405387693,0.4431326700389259,0.45959559324029975,0.20375167771366196,0.19700407350657084,0.21961667885311822
HE,0.4017569930795963,0.5004105171526207,0.29032801617996756,0.4429272369067353,0.5344787716969648,0.6190629002219499,0.05418520831408806,0.8220783845176843,0.8957902228790257,1.0,0.5136445450651943,0.3726602675410846,0.015791786563646135,0.27441126739682903,0.49179035582857084,0.38783406378065377,0.18732582655495106,0.4374230103878375,0.4057246674127505,0.4524909715160834,0.19233939715825815,0.18645069338886056,0.2083953736348802
