,NOIf,NOS,NOV,MDOA,NOL,CC,NOD,HD,HV,HE,NM,NOE,NOC,NOIter,NONo,NONK,MDON,SODON,MW,NONe,LC,FC,BC
NOIf,7.3195348107959835e-90,3.1266690689964725e-25,1.976335395523357e-05,3.182853714313968e-21,2.849304719430764e-25,6.982044833323627e-48,1.0,9.515856749786596e-33,7.317978952873296e-32,2.4883913755717128e-33,1.3722359628610168e-15,2.1606314441179213e-10,1.0,,1.0560779443376555e-21,7.30280520368051e-26,2.84178643673615e-37,1.305380655866566e-89,3.040442214775961e-14,5.47381085923284e-88,1.6207528462832542e-16,2.4661178546979978e-17,3.331691951460042e-17
NOS,3.1266690689964725e-25,2.0992447438479022e-132,9.155700886861112e-06,5.458585222858755e-20,2.2832705796761484e-104,3.7697605518664025e-49,1.0,2.3392838861904664e-41,9.45983557854772e-41,3.3087093102209954e-38,1.1087731203354962e-39,2.245052928624179e-79,0.4935359463304441,,8.664831213174497e-99,1.0537300377530476e-36,3.9582660360915087e-13,2.2974746109843392e-25,3.543794730665808e-78,5.39660302709023e-25,4.679653457921722e-15,2.7086539308873565e-15,2.9042932309429605e-16
NOV,1.976335395523357e-05,9.155700886861112e-06,1.4695881301778935e-95,5.29593031310015e-06,4.1385263659814724e-07,4.788146871965688e-05,1.0,0.0002650816626330744,9.552197204509144e-05,4.341670930098971e-05,0.0004965594576396044,0.33193013873171057,1.0,,6.548008339992458e-08,4.954374910108841e-19,0.2947167599877518,2.0590500630007974e-05,1.3154272745442486e-07,2.328790706547814e-05,8.570654845660906e-05,0.00010270162530828325,3.279720563445582e-05
MDOA,3.182853714313968e-21,5.458585222858755e-20,5.29593031310015e-06,4.355870462530025e-125,1.1395413507783742e-19,7.272538063324462e-35,1.0,2.7870090310305833e-40,5.376511377950261e-39,2.2916696210855003e-38,2.3382673104816188e-29,1.467882149048913e-10,1.0,,2.4921302816457378e-20,5.598512753398447e-37,6.253374575372338e-11,3.8563261785623424e-21,9.030603343514636e-08,6.240997906268308e-21,4.241961402053562e-16,2.1735220913835052e-16,3.56364763728395e-18
NOL,2.849304719430764e-25,2.2832705796761484e-104,4.1385263659814724e-07,1.1395413507783742e-19,1.4672062403244793e-132,2.3293148126866798e-52,1.0,1.3447646050051945e-44,9.121382641059975e-44,2.24347800897886e-40,1.0023493460403528e-42,3.800863975604445e-68,1.0,,3.933991787328936e-89,1.4111859062617843e-35,1.4493662151827622e-12,1.9109827639042184e-25,7.691524570530083e-71,3.259080902511815e-25,1.575203555392115e-15,6.12314323379998e-16,2.5769437251033803e-16
CC,6.982044833323627e-48,3.7697605518664025e-49,4.788146871965688e-05,7.272538063324462e-35,2.3293148126866798e-52,2.578196910834771e-118,1.0,3.4926101055343236e-80,3.169822558030471e-70,6.725472572204817e-66,1.0709850036495076e-66,6.957909064218716e-29,1.0,,8.324204741556743e-43,3.440087658680141e-38,1.76879874502528e-24,9.404149230434552e-48,2.5875528153772975e-27,1.5293296223317554e-46,7.045882549731843e-18,1.0499404779640403e-18,1.5963366932775192e-20
NOD,1.0,1.0,1.0,1.0,1.0,1.0,8.50880374684521e-63,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HD,9.515856749786596e-33,2.3392838861904664e-41,0.0002650816626330744,2.7870090310305833e-40,1.3447646050051945e-44,3.4926101055343236e-80,1.0,1.1123007145222949e-127,9.060235542127424e-101,4.4912883364773326e-98,1.2267787389195104e-60,1.3613732484646338e-28,1.0,,1.761240989797049e-38,8.322157892143029e-33,4.3818186185725933e-17,9.583580094526913e-33,1.0404721832117975e-23,1.0265858412899156e-31,2.978634477180394e-17,7.168690035590624e-18,3.608198697806042e-20
HV,7.317978952873296e-32,9.45983557854772e-41,9.552197204509144e-05,5.376511377950261e-39,9.121382641059975e-44,3.169822558030471e-70,1.0,9.060235542127424e-101,1.4090836977786007e-127,6.965135748476782e-110,6.3190382761298315e-53,7.636451841282593e-28,1.0,,3.171667571578766e-38,3.481076875569116e-30,1.4173982397130505e-14,1.0580283776899574e-31,5.062878720980436e-24,1.1485683220688906e-30,9.46306270178633e-19,1.236612005913363e-19,5.360714949221069e-21
HE,2.4883913755717128e-33,3.3087093102209954e-38,4.341670930098971e-05,2.2916696210855003e-38,2.24347800897886e-40,6.725472572204817e-66,1.0,4.4912883364773326e-98,6.965135748476782e-110,9.564015660820467e-128,2.357288203180817e-46,4.012007556510279e-26,1.0,,5.739566168331064e-36,5.847317167967682e-30,5.090532311350715e-16,4.125123485450888e-33,8.874640355486753e-23,6.040999359055707e-32,1.0071552829033218e-17,1.3751321595736993e-18,3.7939663699412316e-20
NM,1.3722359628610168e-15,1.1087731203354962e-39,0.0004965594576396044,2.3382673104816188e-29,1.0023493460403528e-42,1.0709850036495076e-66,1.0,1.2267787389195104e-60,6.3190382761298315e-53,2.357288203180817e-46,2.9454597666645896e-102,3.2835724394589875e-29,1.0,,1.4366042462091835e-35,4.172179691210671e-31,9.440673801510042e-09,1.0004782999358279e-15,3.7893598395632657e-22,6.827488572273543e-16,9.772439121987818e-15,4.531913101396991e-15,1.5890555778311795e-17
NOE,2.1606314441179213e-10,2.245052928624179e-79,0.33193013873171057,1.467882149048913e-10,3.800863975604445e-68,6.957909064218716e-29,1.0,1.3613732484646338e-28,7.636451841282593e-28,4.012007556510279e-26,3.2835724394589875e-29,1.591321457951911e-127,1.0,,3.9810325624418256e-69,2.275640341535232e-21,1.1608969939099366e-05,1.6686933677303217e-10,3.698909567104162e-69,2.2785344428734354e-10,2.524953451708607e-09,4.324062125075262e-09,4.309054985908586e-10
NOC,1.0,0.4935359463304441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.078381384308202e-66,,0.9388809154295978,9.455829937451057e-05,1.0,1.0,1.0,1.0,0.013355652532914118,0.0732084079078841,0.002286542884223737
NOIter,,,,,,,,,,,,,,,,,,,,,,,
NONo,1.0560779443376555e-21,8.664831213174497e-99,6.548008339992458e-08,2.4921302816457378e-20,3.933991787328936e-89,8.324204741556743e-43,1.0,1.761240989797049e-38,3.171667571578766e-38,5.739566168331064e-36,1.4366042462091835e-35,3.9810325624418256e-69,0.9388809154295978,,2.133212674816459e-138,5.285123587661052e-40,1.6033155562676365e-11,8.976737053911136e-22,2.574816432681272e-92,2.3911600168718377e-21,1.0543477274754677e-13,4.19537160141898e-13,1.0320879477257468e-14
NONK,7.30280520368051e-26,1.0537300377530476e-36,4.954374910108841e-19,5.598512753398447e-37,1.4111859062617843e-35,3.440087658680141e-38,1.0,8.322157892143029e-33,3.481076875569116e-30,5.847317167967682e-30,4.172179691210671e-31,2.275640341535232e-21,9.455829937451057e-05,,5.285123587661052e-40,1.8251908761194672e-130,5.27135865653166e-19,6.071865055960878e-26,6.86027466344394e-24,4.9038389824169166e-26,8.524869225087274e-24,2.566086185563412e-22,1.3712684288896244e-26
MDON,2.84178643673615e-37,3.9582660360915087e-13,0.2947167599877518,6.253374575372338e-11,1.4493662151827622e-12,1.76879874502528e-24,1.0,4.3818186185725933e-17,1.4173982397130505e-14,5.090532311350715e-16,9.440673801510042e-09,1.1608969939099366e-05,1.0,,1.6033155562676365e-11,5.27135865653166e-19,4.811163576340262e-64,7.18079275703369e-37,1.6586637881815313e-06,5.306894881966698e-35,6.652397917178149e-13,6.958412877309453e-13,5.550917850482143e-13
SODON,1.305380655866566e-89,2.2974746109843392e-25,2.0590500630007974e-05,3.8563261785623424e-21,1.9109827639042184e-25,9.404149230434552e-48,1.0,9.583580094526913e-33,1.0580283776899574e-31,4.125123485450888e-33,1.0004782999358279e-15,1.6686933677303217e-10,1.0,,8.976737053911136e-22,6.071865055960878e-26,7.18079275703369e-37,7.3855166469819335e-90,2.6504384646558312e-14,1.76951207660122e-88,1.199864368980402e-16,1.7301329842603387e-17,2.3677544952876616e-17
MW,3.040442214775961e-14,3.543794730665808e-78,1.3154272745442486e-07,9.030603343514636e-08,7.691524570530083e-71,2.5875528153772975e-27,1.0,1.0404721832117975e-23,5.062878720980436e-24,8.874640355486753e-23,3.7893598395632657e-22,3.698909567104162e-69,1.0,,2.574816432681272e-92,6.86027466344394e-24,1.6586637881815313e-06,2.6504384646558312e-14,2.5682053677870486e-133,6.241282304119285e-14,3.8496771648304146e-07,1.646069636979964e-06,2.324359662409102e-07
NONe,5.47381085923284e-88,5.39660302709023e-25,2.328790706547814e-05,6.240997906268308e-21,3.259080902511815e-25,1.5293296223317554e-46,1.0,1.0265858412899156e-31,1.1485683220688906e-30,6.040999359055707e-32,6.827488572273543e-16,2.2785344428734354e-10,1.0,,2.3911600168718377e-21,4.9038389824169166e-26,5.306894881966698e-35,1.76951207660122e-88,6.241282304119285e-14,1.4981886411329483e-89,1.5000622008130532e-16,1.798732656956193e-17,2.1674363625388157e-17
