,NOIf,NOS,NOV,MDOA,NOL,CC,NOD,HD,HV,HE,NM,NOE,NOC,NOIter,NONo,NONK,MDON,SODON,MW,NONe,LC,FC,BC
NOIf,0.0,1.7131526927453613e-129,4.310933380057893e-53,1.2156153543549947e-51,2.9564302707022703e-146,7.632096720396754e-185,1.0,1.336482162847057e-87,2.044144321636833e-90,7.603741843773632e-90,2.3668466617605698e-60,2.391616516312193e-26,1.0,1.0074593146471064e-19,6.56682079157197e-116,2.690300453285292e-104,2.8651548843590167e-97,5.564092242344897e-238,6.182498387399754e-90,5.603512886517644e-183,1.5335732932098192e-15,6.8778969777404844e-15,8.967377593778645e-17
NOS,1.7131526927453613e-129,0.0,3.0258442428827066e-47,2.4632193808024905e-80,0.0,1.3291392268371022e-267,1.0,1.3178578322775656e-192,3.908401703675822e-187,2.0321301280971576e-163,1.1031853652375805e-177,2.6153679602070544e-284,1.3910826183303712e-06,2.9625088628571773e-74,0.0,1.0050948339289895e-150,3.6919853887505777e-17,6.107332879684282e-188,0.0,2.6954697498741463e-198,1.257268913629783e-34,4.934054153360654e-32,1.1190261573040767e-39
NOV,4.310933380057893e-53,3.0258442428827066e-47,0.0,1.6096283766461118e-37,2.709663910366788e-77,9.496227444143005e-63,1.0,1.7395516076896572e-47,2.7056379984816727e-50,4.700412091655157e-51,1.3699030354152053e-33,1.0,0.25420189968548645,2.9759751830845174e-56,8.916465157871153e-69,3.5306837168935706e-104,6.480181271382039e-65,5.5636069610113005e-87,1.3949520834166745e-56,7.751562280701821e-61,6.415816246082271e-24,1.6970623095912776e-23,3.349180588066831e-25
MDOA,1.2156153543549947e-51,2.4632193808024905e-80,1.6096283766461118e-37,0.0,7.272439368505344e-88,5.5923126673529795e-109,0.624137480182843,4.809506115524224e-134,8.16424220933679e-129,5.689845652146176e-124,3.693342220647413e-96,7.315415443746045e-41,0.0009038452440834641,2.1930414169108096e-18,1.76925732730092e-94,7.638551682525643e-134,1.2310623502116354e-16,8.387466133798321e-56,7.856151921773286e-36,4.0575817054668015e-50,1.0123768720162341e-10,5.935069369936946e-10,3.1030782342767847e-13
NOL,2.9564302707022703e-146,0.0,2.709663910366788e-77,7.272439368505344e-88,0.0,0.0,0.33051047503853875,4.628770285320332e-219,5.1609726940329864e-217,3.3616495621585616e-186,1.4203795190116295e-208,1.798634568958173e-193,0.6788747635427594,2.3291414900086533e-56,0.0,9.49575061764574e-164,7.374772171375293e-22,1.032258651328964e-178,0.0,3.6207554398412335e-182,1.6654104965695853e-33,2.404439328705427e-31,1.519970428131383e-37
CC,7.632096720396754e-185,1.3291392268371022e-267,9.496227444143005e-63,5.5923126673529795e-109,0.0,0.0,0.32535275590277085,2.0114032408538364e-301,2.905748056264169e-268,8.772765824700617e-241,8.337595439406606e-269,2.4901137351334954e-106,0.7277242673714074,2.747024920270521e-91,3.4369774628446465e-241,7.050554202035837e-150,8.980767390160635e-39,1.4684323513065366e-256,1.4293642267850796e-183,4.522681634002964e-247,1.6235277232171488e-43,1.9521283542840642e-41,1.7829381392237396e-48
NOD,1.0,1.0,1.0,0.624137480182843,0.33051047503853875,0.32535275590277085,5.870299903958375e-299,0.3307787216949086,0.3308324773810597,0.33080487072782666,0.2898371599210581,1.0,1.0,1.0,1.0,0.9907992171457771,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HD,1.336482162847057e-87,1.3178578322775656e-192,1.7395516076896572e-47,4.809506115524224e-134,4.628770285320332e-219,2.0114032408538364e-301,0.3307787216949086,0.0,0.0,0.0,8.008017251471294e-237,9.57982098718705e-106,1.0,1.38300121318858e-50,5.592404343484524e-186,3.617797746611899e-111,6.526413016244694e-12,7.058328198956643e-122,2.2150197144651022e-125,5.650566847932571e-135,2.4905940479647672e-29,2.1882746267940973e-27,3.636700770492058e-34
HV,2.044144321636833e-90,3.908401703675822e-187,2.7056379984816727e-50,8.16424220933679e-129,5.1609726940329864e-217,2.905748056264169e-268,0.3308324773810597,0.0,0.0,0.0,2.041202238311559e-195,4.7946965027090475e-104,1.0,4.1059462528000667e-41,3.3309908790592106e-188,2.867198257346995e-103,1.0150203390509296e-14,1.615645563143828e-113,9.595989563904806e-129,7.5977471785271564e-121,4.492788311234068e-28,2.924192775691341e-26,1.454059774804349e-32
HE,7.603741843773632e-90,2.0321301280971576e-163,4.700412091655157e-51,5.689845652146176e-124,3.3616495621585616e-186,8.772765824700617e-241,0.33080487072782666,0.0,0.0,0.0,1.6446593135273187e-152,7.114592864384852e-89,1.0,7.339074072059186e-41,4.178527863800217e-161,4.228807269751049e-97,4.132412906919448e-17,1.5312192877031516e-111,4.872900464765005e-108,3.5780605439050716e-117,4.7237251629848015e-25,1.4862066727365544e-23,2.3394473293308293e-29
