,NOIf,NOS,NOV,MDOA,NOL,CC,NOD,HD,HV,HE,NM,NOE,NOC,NOIter,NONo,NONK,MDON,SODON,MW,NONe,LC,FC,BC
NOIf,0.0,1.2236804948181151e-130,3.9190303455071747e-54,1.013012795295829e-52,2.1117359076444787e-147,6.938269745815231e-186,0.2396832529909749,8.909881085647046e-89,1.362762881091222e-91,5.431244174124023e-91,1.5778977745070465e-61,1.4947603226951206e-27,0.3922573714739931,5.037296573235532e-21,4.690586279694264e-117,2.24191704440441e-105,1.4325774421795084e-97,1.3910230605862242e-238,4.4160702767141096e-91,1.1207025773035288e-183,8.071438385314838e-17,3.6199457777581497e-16,4.719672417778234e-18
NOS,2.8552544879089354e-130,0.0,2.0172294952551378e-48,2.4632193808024904e-81,0.0,2.2152320447285037e-268,0.2830444104645476,1.8826540461108078e-193,4.885502129594777e-188,3.386883546828596e-164,1.8386422753959675e-178,1.3076839801035274e-284,3.477706545825928e-07,3.703136078571472e-75,0.0,2.512737084822474e-151,2.8399887605773675e-18,1.0178888132807135e-188,0.0,6.738674374685366e-199,1.257268913629783e-35,5.4822823926229484e-33,1.1406397020881207e-40
NOV,2.873955586705262e-54,1.7799083781662983e-48,0.0,1.0730855844307412e-38,1.6935399439792425e-78,5.5860161436135325e-64,0.20104898830475,1.0232656515821514e-48,1.6910237490510454e-51,2.9377575572844733e-52,7.610572418973364e-35,0.4803583430703159,0.025420189968548647,2.2892116792957828e-57,5.572790723669471e-70,2.7159105514565926e-105,1.6200453178455098e-65,3.709071307340867e-88,8.718450521354215e-58,4.30642348927879e-62,3.564342358934595e-25,9.428123942173764e-25,1.9701062282746068e-26
MDOA,7.597595964718717e-53,1.642146253868327e-81,1.0060177354038199e-38,0.0,4.848292912336896e-89,3.9945090481092704e-110,0.07801718502285537,4.8095061155242235e-135,9.071380232596432e-130,6.322050724606862e-125,3.077785183872844e-97,5.2252967455328895e-42,0.00015064087401391068,1.0443054366241951e-19,1.17950488486728e-95,1.2730919470876073e-134,8.207082334744235e-18,4.19373306689916e-57,4.621265836337228e-37,2.0287908527334007e-51,4.820842247696354e-12,2.967534684968473e-11,1.4776563020365642e-14
NOL,5.91286054140454e-147,0.0,6.77415977591697e-78,8.08048818722816e-89,0.0,0.0,0.047261782483008524,7.714617142200554e-220,1.0321945388065972e-217,6.723299124317123e-187,3.550948797529074e-209,3.5972691379163463e-194,0.060643688947617284,1.9409512416738778e-57,0.0,3.165250205881913e-164,6.145643476146077e-23,1.4746552161842341e-179,0.0,6.034592399735389e-183,1.5140095423359868e-34,2.185853935186752e-32,1.3817912983012572e-38
CC,2.5440322401322515e-185,2.2152320447285037e-268,1.3566039205918577e-63,9.320521112254966e-110,0.0,0.0,0.047261782483008524,5.028508102134591e-302,7.264370140660423e-269,2.1931914561751544e-241,4.168797719703303e-269,4.150189558555825e-107,0.060643688947617284,5.494049840541042e-92,6.873954925689293e-242,1.4101108404071674e-150,1.2829667700229479e-39,4.8947745043551224e-257,2.382273711308466e-184,1.5075605446676546e-247,2.029409654021436e-44,2.4401604428550803e-42,2.2286726740296745e-49
NOD,0.15252570644880223,0.21333576298918988,0.11880167490735224,0.02713641218186274,0.015023203410842671,0.014788761631944128,5.870299903958376e-299,0.015035396440677662,0.01503783988095726,0.015036585033083031,0.012601615648741654,0.6459249612355775,0.6982877228922961,0.6925188113415788,0.047488799615561635,0.04307822683242509,0.07832441697545657,0.31845153269166326,0.11129528661461194,0.4197105180158529,0.21949620900405264,0.2144310654107277,0.22151301688529812
HD,1.028063202190044e-88,1.647322290346957e-193,1.2425368626354694e-48,2.404753057762112e-134,7.714617142200554e-220,6.704677469512787e-302,0.047261782483008524,0.0,0.0,0.0,2.669339083823765e-237,1.3685458553124357e-106,0.18730791368234023,9.878580094204142e-52,6.990505429355655e-187,3.6177977466118986e-112,3.62578500902483e-13,6.416661999051493e-123,2.0136542858773655e-126,5.650566847932571e-136,1.9158415753575135e-30,1.6832881744569982e-28,2.797462131147737e-35
HV,2.044144321636833e-91,3.9084017036758216e-188,2.081259998832056e-51,2.0410605523341974e-129,7.372818134332837e-218,5.811496112528338e-269,0.047261782483008524,0.0,0.0,0.0,4.082404476623118e-196,5.993370628386309e-105,0.4339066540433677,2.5662164080000417e-42,4.758558398656015e-189,2.0479987552478536e-104,5.970707876770174e-16,1.3463713026198568e-114,9.595989563904806e-130,6.907042889570142e-122,3.2091345080243334e-29,2.088709125493815e-27,1.0386141248602492e-33
HE,6.336451536478027e-91,1.693441773414298e-164,3.917010076379298e-52,1.1379691304292354e-124,3.3616495621585616e-187,8.772765824700618e-242,0.047261782483008524,0.0,0.0,0.0,2.0558241419091483e-153,7.114592864384853e-90,0.5159914302416814,4.3171023953289334e-42,3.214252202923244e-162,2.819204846500699e-98,2.9517235049424627e-18,1.177860990540886e-112,3.748384972896158e-109,2.7523542645423633e-118,2.7786618605792953e-26,8.742392192567969e-25,1.4621545808317683e-30
NM,1.6906047584004067e-61,1.0028957865796186e-178,8.058253149501209e-35,5.276203172353447e-97,1.775474398764537e-209,2.0843988598516514e-269,0.047261782483008524,1.601603450294259e-237,3.4020037305192647e-196,2.0558241419091483e-153,0.0,8.613096040921002e-98,0.022464045616972437,3.0054255162677815e-39,1.2019508558118857e-173,2.969962226675104e-110,5.530861539531558e-09,1.9880634147816812e-85,3.1854325100553424e-130,9.422338259799307e-96,1.668500061611641e-32,4.388594340965118e-31,1.327292894916279e-36
NOE,1.4068332448895254e-27,5.230735920414109e-285,0.4594731977194326,5.2252967455328895e-42,1.9984828543979702e-194,1.66007582342233e-107,0.6982877228922961,6.842729276562179e-107,3.68822807900696e-105,4.743061909589901e-90,7.047078578935367e-98,0.0,9.240552534198219e-09,6.662740191862404e-31,2.1273512342085766e-226,1.2339767916299565e-54,0.0004064591048355826,1.6038879535299273e-53,1.2916908717650468e-211,1.1246632686674091e-86,1.0000043530723744e-12,3.994383490391813e-11,9.580651219681272e-16
NOC,0.28992936152425575,6.323102810592596e-08,0.012104852365975546,4.108387473106655e-05,0.029516294067076496,0.03164018553788728,0.6982877228922961,0.1221573350102219,0.3773101339507545,0.4711226102206656,0.009189836843306907,1.3860828801297326e-09,0.0,0.5759767073024921,7.357625403824063e-06,1.0605892749290269e-15,0.006293597940917067,0.31845153269166326,0.00025902339990136554,0.0546646363205126,0.14983379984840992,0.3325320896463628,0.04181174422416539
NOIter,5.596996192483924e-21,1.851568039285736e-75,2.9759751830845177e-57,1.2900243628887117e-19,1.370083229416855e-57,1.7168905751690756e-92,0.6982877228922961,8.643757582428625e-52,2.4152625016470982e-42,4.3171023953289334e-42,3.381103705801255e-39,8.439470909692378e-31,0.5759767073024921,0.0,1.9874135333909533e-64,1.1215691211720801e-57,2.627134436998051e-50,5.892968805538932e-190,1.0493312431443028e-65,7.665819036715694e-165,1.0649666258823357e-91,1.0332081434070335e-87,1.1923938658001025e-94
NONo,9.381172559388528e-117,0.0,1.7832930315742308e-69,2.21157165912615e-95,0.0,3.8188638476051624e-242,0.10922423911579177,6.990505429355655e-187,4.758558398656015e-189,5.969325519714595e-162,1.8887799162758202e-173,4.254702468417153e-226,3.237355177682588e-05,3.3786030067646205e-64,0.0,9.780621021566996e-180,3.0188730707077394e-17,1.0224732393985782e-166,0.0,7.007435123790498e-174,6.58439100961142e-36,1.108008167831725e-32,1.1406397020881207e-40
NONK,3.362875566606615e-105,7.73149872253069e-152,1.7653418584467853e-104,2.5461838941752145e-134,7.304423552035184e-165,5.4235032323352595e-151,0.10922423911579177,2.7829213435476147e-112,2.0479987552478536e-104,3.252928669039268e-98,3.2669584493426145e-110,1.8509651874449348e-54,1.1666482024219295e-14,1.631373267159389e-57,2.1734713381259987e-180,0.0,1.5846828289648993e-44,5.033287286845345e-133,3.223377678251562e-118,1.3848728273392787e-121,1.368509526422386e-50,6.875006863861088e-46,2.6373816169123284e-55
MDON,3.183505427065574e-98,1.758088280357418e-18,1.0800302118970066e-65,6.839235278953529e-18,3.511796272083473e-23,4.276555900076493e-40,0.16376923549413647,3.1078157220212834e-13,4.833430185956808e-16,1.967815669961642e-18,5.2674871805062455e-09,0.0004064591048355826,0.017307394337521938,8.757114789993501e-51,2.3000937681582775e-17,4.527665225613998e-45,0.0,3.6133422072185824e-90,2.2123964387729064e-11,1.2888399892259691e-23,1.3647901401550623e-26,3.3083412043791455e-27,1.7377854175841223e-25
SODON,2.7820461211724485e-238,6.785925421871423e-189,1.8545356536704334e-87,7.624969212543927e-57,8.602155427741366e-180,2.097760501866481e-257,0.3854939606267503,5.881940165797202e-123,1.3463713026198568e-114,1.3920175342755923e-112,2.272072474036207e-85,2.59089592493296e-53,0.39735047383255884,1.4732422013847332e-189,6.816488262657189e-167,7.190410409779063e-133,1.686226363368672e-89,0.0,1.6999948017378797e-144,0.0,3.269327859330355e-66,4.7035380576845204e-63,1.229138662401822e-69
MW,5.620453079454322e-91,0.0,1.5499467593518605e-57,4.910094951108304e-37,0.0,1.191136855654233e-184,0.20104898830475,2.0136542858773655e-126,9.595989563904806e-130,4.060750387304171e-109,3.1854325100553424e-130,1.6146135897063086e-211,0.0008140735425471488,1.7488854052405047e-65,0.0,4.297836904335416e-118,2.445280274433212e-11,1.5111064904336707e-144,0.0,1.4056333667154898e-160,6.929324609501242e-29,4.74981955238884e-26,3.8743088527119124e-32
NONe,1.400878221629411e-183,3.85067107124878e-199,9.689452850877276e-62,3.1212166965129243e-51,3.291595854401121e-183,5.653352042503705e-248,0.48266709571823085,6.278407608813968e-136,6.907042889570142e-122,3.5780605439050718e-118,1.0147133510553101e-95,1.5336317300010123e-86,0.0859015713608055,2.0442184097908517e-164,4.905204586653349e-174,2.077309241008918e-121,2.460512706704123e-23,0.0,1.8072429000627726e-160,0.0,5.308483169138721e-63,1.2443606954511846e-59,2.6434777704614842e-67
LC,7.667866466049096e-17,6.617204808577805e-36,3.3767453926748793e-25,5.061884360081171e-12,8.765318402997818e-35,8.544882753774466e-45,0.2830444104645476,1.3108389726130354e-30,2.3646254269652985e-29,2.4861711384130532e-26,1.0537895125968259e-32,1.1111159478581938e-12,0.20602147479156366,7.099777505882237e-92,3.1189220571843567e-36,5.0418772026087903e-51,2.4262935824978884e-26,9.081466275917652e-67,5.470519428553612e-29,1.8735822949901368e-63,0.0,0.0,0.0
