,NOIf,NOS,NOV,MDOA,NOL,CC,NOD,HD,HV,HE,NM,NOE,NOC,NOIter,NONo,NONK,MDON,SODON,MW,NONe,LC,FC,BC
NOIf,1.0,0.6044801918338527,0.3986986288925092,0.39925289473258174,0.6386199175070298,0.7076628890073315,0.03925938939868442,0.5082613043222887,0.5142593080171617,0.5131759445401964,0.42799247472223056,0.2947573899260149,0.028438107868867742,0.24907430196624797,0.5766036287279557,0.5554242098753541,0.5469832313579819,0.7836377351158529,0.5141221404973241,0.702675762808955,0.21928072498261608,0.2148560227479542,0.2276481044821427
NOS,0.6044801918338527,1.0,0.34368515850218745,0.48964442786405854,0.9285819258662936,0.8065265050604274,0.03359686194407923,0.7164671370155203,0.7100624553650625,0.6724641531335566,0.6912519047529617,0.8328264868246923,0.14542618276891614,0.45594542343378575,0.9397118397575674,0.640141000684381,0.23346589579201357,0.6965077165658804,0.8872701392517305,0.7152698695147574,0.32410664061386196,0.3120988336345606,0.3463866909290153
NOV,0.3986986288925092,0.34368515850218745,1.0,0.3396582723005884,0.4504384427019993,0.4180991769747162,0.042711544889851676,0.3703753903947354,0.3808373187823345,0.3859493328638944,0.3145947091073606,0.014043263277094,-0.068235225387915,0.3965711725449395,0.42070200447902617,0.5495207721324133,0.45364562465405606,0.4858677093209028,0.38449392679024197,0.41212492375953863,0.2655538227214483,0.2645776189509381,0.2717816724370876
MDOA,0.39925289473258174,0.48964442786405854,0.3396582723005884,1.0,0.5081982505431879,0.5596047418571193,0.05965224158851275,0.6100884592387958,0.6005026613698093,0.5913757979365307,0.531462645148031,0.36265122683096446,0.11078196913477924,0.23987876922779355,0.52756763245518,0.6164594398706879,0.22925290263620435,0.41375216567151885,0.3307716634822213,0.3931775553206333,0.18002218213842072,0.17346770852158971,0.20069760478407989
NOL,0.6386199175070298,0.9285819258662936,0.4504384427019993,0.5081982505431879,1.0,0.848651128348481,0.06608650073600068,0.7498804923445069,0.7484418501314678,0.7052762949717627,0.7356453373557289,0.7240151917335014,0.058466846360302395,0.40186011462136867,0.9270753583047007,0.6624030261186377,0.2629669711840579,0.6830916361330689,0.8755811101611992,0.6924680334430432,0.3185294986919007,0.3088017031789145,0.33718978856447657
CC,0.7076628890073315,0.8065265050604274,0.4180991769747162,0.5596047418571193,0.848651128348481,1.0,0.0662393596929437,0.8423983218222254,0.8056744686960389,0.7751503157006845,0.8141141004282718,0.5641402014143052,0.05749609672343846,0.5118276949384204,0.7717182957254997,0.6427261153965707,0.3475296724555766,0.7967057574587505,0.6929925428400702,0.7869998680590372,0.3631032598445783,0.35479507179753544,0.38242490832103637
NOD,0.03925938939868442,0.03359686194407923,0.042711544889851676,0.05965224158851275,0.06608650073600068,0.0662393596929437,1.0,0.06607860843450837,0.06607702752406676,0.06607783938469196,0.06735418024525618,0.012403460970114487,0.010465104458314752,0.010675853917643398,0.053506664804585956,0.05461453636182357,0.04752881742081716,0.02693388329266304,0.042990707315332596,0.021784888724399817,0.033149342745693824,0.034209357499638327,0.033004796843356776
HD,0.5082613043222887,0.7164671370155203,0.3703753903947354,0.6100884592387958,0.7498804923445069,0.8423983218222254,0.06607860843450837,1.0,0.9473759727348943,0.9463366218376765,0.7760539504691224,0.5626808117092537,0.041510106697322684,0.3893081309637624,0.7047592225519453,0.5644567761407842,0.19625724492930263,0.5910219595979509,0.5948961988647904,0.6199835350010124,0.3003180285430044,0.2904413867995649,0.3236318971468938
HV,0.5142593080171617,0.7100624553650625,0.3808373187823345,0.6005026613698093,0.7484418501314678,0.8056744686960389,0.06607702752406676,0.9473759727348943,1.0,0.9817161460085732,0.7164840200050526,0.5588365935768678,0.023768065126686236,0.35144866511281914,0.7091196193510987,0.543732481632902,0.21699966851852165,0.5703519538493559,0.6026842161784045,0.5873897531595292,0.29177552571426785,0.28241666933799303,0.3146547955916427
HE,0.5131759445401964,0.6724641531335566,0.3859493328638944,0.5913757979365307,0.7052762949717627,0.7751503157006845,0.06607783938469196,0.9463366218376765,0.9817161460085732,1.0,0.6463033551736984,0.5227389978527552,0.01952522369297323,0.3521206120549498,0.667315158474807,0.5299746166363295,0.2335106721327323,0.5675100647130625,0.5598462963092333,0.5804490349610401,0.2777037079243811,0.2686781559994529,0.3001358119109242
NM,0.42799247472223056,0.6912519047529617,0.3145947091073606,0.531462645148031,0.7356453373557289,0.8141141004282718,0.06735418024525618,0.7760539504691224,0.7164840200050526,0.6463033551736984,1.0,0.5357682284125802,0.07017833952204984,0.3387648170655998,0.680943541197072,0.5635233908931716,0.15752715931655856,0.4968429644752293,0.6015385472401483,0.5263556619782793,0.3117937832676232,0.3051588688733341,0.33140444677984293
NOE,0.2947573899260149,0.8328264868246923,0.014043263277094,0.36265122683096446,0.7240151917335014,0.5641402014143052,0.012403460970114487,0.5626808117092537,0.5588365935768678,0.5227389978527552,0.5357682284125802,1.0,0.16334491528533238,0.29784050669645795,0.7675127471292982,0.4072277813729024,-0.09509487384457581,0.40328307712956046,0.7456021328582821,0.5059478520731602,0.18809696561922398,0.1739079279882846,0.21188849722086672
NOC,0.028438107868867742,0.14542618276891614,-0.068235225387915,0.11078196913477924,0.058466846360302395,0.05749609672343846,0.010465104458314752,0.041510106697322684,0.023768065126686236,0.01952522369297323,0.07017833952204984,0.16334491528533238,1.0,-0.016178870337997545,0.12068180613514577,0.21596984913572925,-0.07431824447930341,0.027253813798655123,0.09855976035420298,0.05225423818901748,0.03926883195627809,0.026178749158868232,0.055164388424194646
NOIter,0.24907430196624797,0.45594542343378575,0.3965711725449395,0.23987876922779355,0.40186011462136867,0.5118276949384204,0.010675853917643398,0.3893081309637624,0.35144866511281914,0.3521206120549498,0.3387648170655998,0.29784050669645795,-0.016178870337997545,1.0,0.4201191743331568,0.41254343118269715,0.3973417593897767,0.7162975126730246,0.421425344217358,0.6697617146540247,0.530718557446823,0.521403422116538,0.5373480826969974
