,NOIf,NOS,NOV,MDOA,NOL,CC,NOD,HD,HV,HE,NM,NOE,NOC,NOIter,NONo,NONK,MDON,SODON,MW,NONe,LC,FC,BC
NOIf,1.0,0.5948280464573918,0.2882144196756298,0.5490635072705669,0.5913073768670375,0.774755027247869,0.08335140791524154,0.6557436078769537,0.6393546375606954,0.6540453728452034,0.47296651910850745,0.4002519780930721,0.009167518320334942,,0.5520105822314029,0.6016420792497689,0.7643605076603411,0.9995102956100571,0.4515652916288029,0.9932962168830962,0.48017248235139354,0.4904509124997164,0.4916024964837837
NOS,0.5948280464573918,1.0,0.28929412678070404,0.534933084150626,0.9645659599443444,0.7834773545443408,0.07856125678176606,0.7310956949065396,0.7269560593499689,0.7108251682568053,0.7198199768397755,0.8944380836148996,0.13465835406983248,,0.95980058670729,0.6885562571260474,0.4529300571675938,0.5958262674141294,0.9061726289766444,0.5931063101097048,0.4529472044896509,0.45801230117399466,0.47050174624743507
NOV,0.2882144196756298,0.28929412678070404,1.0,0.30310802829706446,0.32027048434459626,0.27132265488879914,0.06767947537872104,0.2520979383766831,0.26540748600151426,0.27463883893810614,0.24339055994236225,0.14117398239036252,0.014800339301743601,,0.3345175581743299,0.5219179028264197,0.14698416325202585,0.28756562688852705,0.32285415425087804,0.28651192291106103,0.26975111982279965,0.26820691959951487,0.28040731510126166
MDOA,0.5490635072705669,0.534933084150626,0.30310802829706446,1.0,0.527305227046722,0.6731036033004872,0.08487667538771275,0.7135304347642705,0.705303705405475,0.6966570734413101,0.6354173430957364,0.39878522064347693,0.09375217898650647,,0.540470885509113,0.6976100826087477,0.41244075932596974,0.5481512969801247,0.3417330668232849,0.54578343661095,0.47767856104370854,0.48271431885356475,0.5068752665709148
NOL,0.5913073768670375,0.9645659599443444,0.32027048434459626,0.527305227046722,1.0,0.800191898367293,0.1021253902784607,0.7505718014824989,0.7462574835355144,0.7250122271971371,0.7436736463663578,0.8590828272352149,0.02657656139188809,,0.9341456737621108,0.6759147538306326,0.4434017395862119,0.5927583143593673,0.8779165783870986,0.5914948967577983,0.4607428758892247,0.468398150756888,0.4745008712456014
CC,0.774755027247869,0.7834773545443408,0.27132265488879914,0.6731036033004872,0.800191898367293,1.0,0.10264358739963195,0.9175716427426076,0.875862017955031,0.8630119498067911,0.8762533711477967,0.6437561767386295,0.07138605847142483,,0.7389530003587808,0.7052281288500294,0.6178866472797377,0.7741071301531824,0.6136088175977455,0.767188122133878,0.4924207974617463,0.5011027348301578,0.5246285410517351
NOD,0.08335140791524154,0.07856125678176606,0.06767947537872104,0.08487667538771275,0.1021253902784607,0.10264358739963195,1.0,0.10253887559584089,0.1025642085403711,0.10256271011574053,0.10441416310242196,0.04541229680462919,0.020175950581226225,,0.09314473553362165,0.09358727829325392,0.10740408328006501,0.083351899694425,0.08676764330283195,0.0835122258650408,0.02426651293493829,0.031046964578455766,0.022125350028914324
HD,0.6557436078769537,0.7310956949065396,0.2520979383766831,0.7135304347642705,0.7505718014824989,0.9175716427426076,0.10253887559584089,1.0,0.9678414897944619,0.9623287852165546,0.8464246732260363,0.629882857002369,0.08693221893190771,,0.7139344727251095,0.6714640376459251,0.5157337477487898,0.655264024139088,0.5786595031306715,0.6476297314393723,0.4918883649854538,0.4995063917164658,0.5279612638550486
HV,0.6393546375606954,0.7269560593499689,0.26540748600151426,0.705303705405475,0.7462574835355144,0.875862017955031,0.1025642085403711,0.9678414897944619,1.0,0.9876113320285098,0.8064138505020687,0.6208317395985495,0.08671960464333424,,0.7123924393031849,0.6470375379477895,0.4752267524619745,0.6383532936247023,0.5800115161716524,0.6298044015069636,0.5106524814944472,0.5215950021620849,0.5415656286125858
HE,0.6540453728452034,0.7108251682568053,0.27463883893810614,0.6966570734413101,0.7250122271971371,0.8630119498067911,0.10256271011574053,0.9623287852165546,0.9876113320285098,1.0,0.7673339604393189,0.6067483840842449,0.084496423639849,,0.6982890333057968,0.6445561296407623,0.49746826990239906,0.6527366022212386,0.5683574019661415,0.6419739894493827,0.4975657342189906,0.509547409698213,0.5298874882122305
