,NOIf,NOS,NOV,MDOA,NOL,CC,NOD,HD,HV,HE,NM,NOE,NOC,NOIter,NONo,NONK,MDON,SODON,MW,NONe,LC,FC,BC
NOIf,0.0,3.3780914852382283e-136,3.584023118186546e-52,2.4956035257626815e-52,7.918875629481023e-157,1.0472353843811324e-207,1.0,1.0416027742405865e-89,3.471851363249869e-92,9.809641050555055e-92,6.694934515368739e-61,1.4573411801120755e-27,1.0,1.6868084984258607e-19,4.050486737083254e-121,1.345800769099217e-110,1.3034030393402346e-106,2.1797022948238485e-284,3.96063795945653e-92,1.5428565482102248e-203,4.757354441544564e-15,1.932508297840164e-14,3.088072247828081e-16
NOS,3.3780914852382283e-136,0.0,5.431995154734232e-38,2.5070992227196818e-82,0.0,6.8249197686e-314,1.0,2.7659075428134255e-215,9.6133528946027e-210,4.875853735505912e-180,2.603851220322768e-194,0.0,1.4293637224700842e-06,4.506453683948119e-70,0.0,8.281914046826052e-158,4.320284709101454e-17,1.677077581472284e-198,0.0,3.08541413460617e-214,1.3848773985338451e-33,4.876055449002701e-31,1.2635476690578094e-38
NOV,3.584023118186546e-52,5.431995154734232e-38,0.0,4.650668045068269e-37,3.3820255923181557e-68,7.432890331697229e-58,1.0,1.5793351842324387e-44,2.8996892175055502e-47,1.2261571947781295e-48,1.473321469794119e-31,1.0,0.26306682511125834,1.4287842700632114e-51,1.2016480251661393e-58,8.486565947002858e-108,2.761801581701071e-69,6.946315758020881e-81,3.035043322074174e-48,4.585974583026252e-56,3.1316367914098193e-22,4.60310962273564e-22,2.5829257341962923e-23
MDOA,2.4956035257626815e-52,2.5070992227196818e-82,4.650668045068269e-37,0.0,1.1053025564117506e-89,1.2944796583661942e-112,0.622923589776111,2.050664519531971e-139,5.909225170141561e-134,6.316845667958593e-129,1.4269339891138341e-99,1.4281554556353557e-42,0.0008949778895401952,4.641982867426931e-18,7.313220496541642e-98,3.788561359890133e-143,1.8047060394936977e-16,1.5045097899206067e-56,4.755337407946324e-35,1.2704401945084307e-50,4.1958455740457737e-10,2.2401279620281065e-09,1.3980567631142831e-12
NOL,7.918875629481023e-157,0.0,3.3820255923181557e-68,1.1053025564117506e-89,0.0,0.0,0.32928392887291036,6.795776393662377e-247,1.9754882421093465e-245,1.061024542851724e-205,7.723441040918567e-233,5.137365278151655e-222,0.6966100434409181,4.505259903236243e-53,0.0,8.044416922509964e-173,8.660165917881355e-22,5.5866716053695134e-188,0.0,2.8437401524271527e-195,2.1813022061328307e-32,2.3285617741678887e-30,1.707618248173948e-36
CC,1.0472353843811324e-207,6.8249197686e-314,7.432890331697229e-58,1.2944796583661942e-112,0.0,0.0,0.32412908829736725,0.0,1.005331330433e-312,2.3895600729575227e-274,0.0,7.784421921532421e-115,0.7624095646050009,3.5544285123073234e-91,2.0600899185336912e-270,1.733348706787548e-159,6.787976030845884e-39,9.06332876681278e-301,1.0904882302751083e-195,1.7165737953743537e-288,1.1009338721500562e-42,1.2303771098821765e-40,1.0922387063447629e-47
NOD,1.0,1.0,1.0,0.622923589776111,0.32928392887291036,0.32412908829736725,0.0,0.3295520301048221,0.3296057566989381,0.32957816498404124,0.2886378749296141,1.0,1.0,1.0,1.0,0.9898412231493319,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HD,1.0416027742405865e-89,2.7659075428134255e-215,1.5793351842324845e-44,2.050664519531971e-139,6.795776393660831e-247,0.0,0.3295520301048221,0.0,0.0,0.0,2.1402655659776364e-275,4.070042544974212e-114,1.0,1.487728486695386e-49,2.8682060029402996e-205,5.431520844830504e-115,5.025517098259993e-12,9.822889650664146e-129,7.582987248581601e-131,2.9940287354993137e-145,1.1878530895163191e-28,9.82199787369666e-27,1.755155505294833e-33
HV,3.471851363249869e-92,9.6133528946027e-210,2.8996892175055502e-47,5.909225170141561e-134,1.9754882421093465e-245,1.005331330433e-312,0.3296057566989381,0.0,0.0,0.0,2.673179018464736e-215,3.053809239629593e-112,1.0,7.90574628277226e-40,6.106621676327308e-209,4.169390125583754e-105,9.836805427116573e-15,6.2096771309335625e-118,3.510001329503239e-135,8.847293584484703e-127,5.464910834217953e-27,3.1266498481075973e-25,1.4312744458350985e-31
HE,9.809641050555055e-92,4.875853735506745e-180,1.2261571947780769e-48,6.316845667958593e-129,1.061024542851724e-205,2.3895600729572503e-274,0.32957816498404124,0.0,0.0,0.0,7.730622377389911e-162,8.97244230540725e-96,1.0,5.451301061978788e-40,2.6128154521699825e-176,6.459591277868744e-99,4.254488006487484e-17,1.6545177211634855e-116,9.878210399492785e-113,4.108127292693704e-123,2.264905475385696e-24,9.030222963048304e-23,1.2906907777121428e-28
NM,6.694934515368356e-61,2.6038512203220277e-194,1.473321469794119e-31,1.4269339891138341e-99,7.723441040918567e-233,0.0,0.2886378749296141,2.1402655659776364e-275,2.673179018465496e-215,7.730622377387712e-162,0.0,1.731052036546732e-101,0.21364837200013445,7.4569676321285705e-37,2.3958593599757456e-186,1.567774167274152e-114,1.0122169303285493e-07,3.971798243771092e-85,1.550435663268751e-134,2.4635779304151424e-97,5.63968270286328e-31,1.2802225734089546e-29,3.4376363526562663e-35
NOE,1.4573411801120755e-27,0.0,1.0,1.4281554556353557e-42,5.137365278151655e-222,7.784421921532421e-115,1.0,4.070042544974212e-114,3.053809239629593e-112,8.972442305405458e-96,1.731052036546732e-101,0.0,2.6295101342238075e-08,3.6545603854954823e-28,1.105120418140982e-265,1.2649330092346156e-54,0.009614526046844141,1.7585239384123838e-53,1.4297818829326692e-242,9.120271294953039e-89,4.881215849395963e-11,2.005754099396814e-09,4.863812561207116e-14
NOC,1.0,1.4293637224700842e-06,0.263066825111259,0.0008949778895401952,0.6966100434409181,0.7624095646050009,1.0,1.0,1.0,1.0,0.21364837200013445,2.6295101342238075e-08,0.0,1.0,0.00016843497755645377,1.3618511783110585e-14,0.13495404683270576,1.0,0.0058551361463820666,1.0,1.0,1.0,0.9424846510054886
NOIter,1.6868084984258607e-19,4.506453683948119e-70,1.4287842700632114e-51,4.641982867427031e-18,4.505259903236243e-53,3.5544285123075267e-91,1.0,1.4877284866952797e-49,7.90574628277226e-40,5.451301061978788e-40,7.4569676321285705e-37,3.6545603854954823e-28,1.0,0.0,1.8096332116793304e-58,3.445074522677407e-56,8.668255077890638e-52,3.895565828535547e-215,7.2211904977530665e-59,4.5145833936867836e-178,3.039105224491162e-99,3.3476090379178365e-95,3.374869608883639e-102
NONo,4.050486737083254e-121,0.0,1.2016480251661393e-58,7.313220496541644e-98,0.0,2.0600899185336912e-270,1.0,2.8682060029402996e-205,6.106621676328002e-209,2.6128154521708747e-176,2.3958593599757456e-186,1.1051204181404795e-265,0.00016843497755645377,1.8096332116793304e-58,0.0,2.699864066902359e-192,6.648139281762086e-16,2.0739389897674487e-169,0.0,1.832379838453883e-181,5.181047301143167e-33,4.971988690295886e-30,1.058080766381069e-37
NONK,1.345800769099217e-110,8.281914046826052e-158,8.486565947002858e-108,3.788561359890133e-143,8.044416922509964e-173,1.733348706787548e-159,0.989841223149333,5.431520844830504e-115,4.169390125584823e-105,6.459591277868744e-99,1.567774167274152e-114,1.2649330092346156e-54,1.3618511783110585e-14,3.445074522677407e-56,2.699864066902359e-192,0.0,4.070435657819123e-44,4.591182981996845e-141,1.0179452100839407e-120,3.2700793723219945e-127,6.547986967659018e-48,1.6918270616150378e-43,7.595172405176385e-53
MDON,1.3034030393402346e-106,4.320284709101454e-17,2.761801581701071e-69,1.8047060394936977e-16,8.660165917881355e-22,6.787976030845884e-39,1.0,5.025517098259993e-12,9.836805427116573e-15,4.254488006487484e-17,1.0122169303285493e-07,0.009614526046844141,0.13495404683270576,8.668255077890638e-52,6.648139281762038e-16,4.070435657819123e-44,0.0,1.6075739391860336e-94,5.253045927911269e-10,3.4762829972977625e-22,2.6620368713243914e-25,6.446181180034765e-26,3.877268837880717e-24
SODON,2.1797022948238485e-284,1.67707758147257e-198,6.946315758020881e-81,1.5045097899206067e-56,5.5866716053695134e-188,9.063328766808657e-301,1.0,9.822889650664146e-129,6.2096771309335625e-118,1.6545177211634855e-116,3.9717982437709783e-85,1.7585239384123838e-53,1.0,3.895565828535547e-215,2.0739389897674487e-169,4.591182981996845e-141,1.6075739391860336e-94,0.0,1.61108824649309e-142,0.0,2.3700063741316695e-66,3.5453804253872645e-63,4.934661284713739e-70
MW,3.96063795945653e-92,0.0,3.035043322074304e-48,4.755337407946324e-35,0.0,1.0904882302751083e-195,1.0,7.582987248581601e-131,3.510001329504637e-135,9.878210399492785e-113,1.550435663268751e-134,1.4297818829326692e-242,0.0058551361463820666,7.2211904977530665e-59,0.0,1.0179452100839407e-120,5.253045927911269e-10,1.61108824649309e-142,0.0,4.259301464130412e-161,3.0542068969492e-26,1.1197285299881814e-23,2.1544458611690314e-29
NONe,1.5428565482102248e-203,3.08541413460617e-214,4.585974583026252e-56,1.2704401945084307e-50,2.8437401524271527e-195,1.7165737953743537e-288,1.0,2.9940287354993137e-145,8.847293584486719e-127,4.108127292693704e-123,2.4635779304151424e-97,9.120271294953039e-89,1.0,4.5145833936867836e-178,1.832379838453883e-181,3.2700793723219945e-127,3.4762829972977625e-22,0.0,4.259301464130412e-161,0.0,7.493648924095207e-63,2.1390473658172287e-59,1.6269973850928854e-67
LC,4.757354441544496e-15,1.3848773985338451e-33,3.1316367914098193e-22,4.195845574045803e-10,2.1813022061328307e-32,1.1009338721499775e-42,1.0,1.1878530895163191e-28,5.464910834217953e-27,2.264905475385696e-24,5.63968270286328e-31,4.881215849395963e-11,1.0,3.039105224491162e-99,5.181047301143167e-33,6.547986967659018e-48,2.6620368713243914e-25,2.3700063741316695e-66,3.0542068969492e-26,7.493648924095207e-63,0.0,0.0,0.0
