,NOIf,NOS,NOV,MDOA,NOL,CC,NOD,HD,HV,HE,NM,NOE,NOC,NOIter,NONo,NONK,MDON,SODON,MW,NONe,LC,FC,BC
NOIf,0.0,2.412922489455877e-137,3.9822479090961624e-53,2.0796696048022346e-53,5.656339735343588e-158,9.520321676192113e-209,0.23979008126854412,6.944018494937244e-91,2.3145675754999126e-93,6.5397607003700365e-93,4.463289676912493e-62,9.108382375700472e-29,0.3955206142838603,8.434042492129304e-21,2.8932048122023245e-122,1.1215006409160142e-111,6.517015196701173e-107,5.449255737059621e-285,2.8290271138975213e-93,3.0857130964204494e-204,2.5038707587076655e-16,1.0171096304421916e-15,1.6253011830674108e-17
NOS,5.630152475397048e-137,0.0,3.6213301031561544e-39,2.5070992227196817e-83,0.0,1.364983954e-314,0.28320644078824353,3.9512964897334645e-216,1.3733361278003856e-210,8.126422892509854e-181,4.33975203387128e-195,0.0,3.573409306175211e-07,5.633067104935149e-71,0.0,1.6563828093652104e-158,3.0859176493581816e-18,2.795129302453807e-199,0.0,7.713535336515425e-215,1.5387526650376058e-34,5.417839387780779e-32,1.403941854508677e-39
NOV,2.2400144488665914e-53,3.017775085963462e-39,0.0,3.100445363378846e-38,2.1137659951988473e-69,4.372288430410135e-59,0.20110679494779568,9.29020696607317e-46,1.812305760940969e-48,7.66348246736331e-50,8.185119276633995e-33,0.630540424799117,0.026306682511125834,1.0205601929022936e-52,7.510300157288371e-60,6.528127651540661e-109,6.904503954252678e-70,4.3414473487630514e-82,1.896902076296359e-49,2.4136708331717116e-57,1.7397982174498995e-23,2.557283123742022e-23,1.4349587412201623e-24
MDOA,1.6637356838417877e-53,1.6713994818131212e-83,2.9066675281676684e-38,0.0,7.36868370941167e-91,8.629864389107961e-114,0.07786544872201387,2.050664519531971e-140,5.909225170141561e-135,7.01871740884288e-130,1.1891116575948617e-100,1.0201110397395398e-43,0.00014916298159003256,2.2104680321080624e-19,4.8754803310277615e-99,6.314268933150221e-144,1.2031373596624651e-17,7.522548949603033e-58,2.7972572987919555e-36,6.352200972542154e-52,1.998021701926559e-11,1.066727600965765e-10,6.657413157687062e-14
NOL,1.5837751258962046e-157,0.0,6.764051184636312e-69,1.2281139515686116e-90,0.0,0.0,0.047086536671276866,1.1326293989437297e-247,3.950976484218693e-246,2.1220490857034477e-206,1.9308602602296418e-233,1.027473055630331e-222,0.06332818576735619,3.75438325269687e-54,0.0,2.6814723075033213e-173,7.216804931567796e-23,7.980959436242162e-189,0.0,4.739566920711921e-196,1.9830020055753005e-33,2.3285617741678887e-31,1.5523802256126799e-37
CC,3.490784614603775e-208,1.137486628e-314,1.0618414759567469e-58,2.1574660972769903e-113,0.0,0.0,0.047086536671276866,0.0,2.5133283261e-313,5.973900182393808e-275,0.0,1.2974036535887368e-115,0.06353413038375008,5.07775501758189e-92,4.1201798370673826e-271,4.33337176696887e-160,9.697108615494119e-40,3.021109588937593e-301,1.8174803837918473e-196,5.721912651247845e-289,1.3761673401875705e-43,1.5379713873527207e-41,1.3652983829309536e-48
NOD,0.15259368807998266,0.21345688236512866,0.1188358333782429,0.02708363433809178,0.014967451312405015,0.014733140377153058,0.0,0.014979637732037367,0.014982079849951731,0.014980825681092784,0.012549472823026701,0.64609264216528,0.6984367438899911,0.6926700447573194,0.047451153867900595,0.04303657491953617,0.07831892927011938,0.31862840663531317,0.11132549577107824,0.4199096009449026,0.21962163490137213,0.21455145506804463,0.2216398232255819
HD,8.012329032619897e-91,3.9512964897334645e-216,1.1280965601660603e-45,6.835548398439904e-140,1.132629398943472e-247,0.0,0.047086536671276866,0.0,0.0,0.0,7.134218553258788e-276,5.814346492820303e-115,0.1904412480775333,9.918189911302574e-51,3.5852575036753745e-206,5.431520844830503e-116,2.791953943477774e-13,8.929899682421951e-130,6.893624771437819e-132,2.994028735499314e-146,9.13733145781784e-30,7.555382979766663e-28,1.350119619457564e-34
HV,3.471851363249869e-93,1.0681503216225221e-210,2.2305301673119616e-48,1.4773062925353905e-134,2.822126060156209e-246,1.67555221737e-313,0.047086536671276866,0.0,0.0,0.0,5.3463580369294726e-216,3.817261549536991e-113,0.4356730013619346,4.650438989866036e-41,8.723745251896153e-210,2.978135803988396e-106,5.786356133597985e-16,5.174730942444635e-119,3.900001477225821e-136,7.372744653737252e-128,3.903507738727109e-28,2.0844332320717316e-26,1.022338889882213e-32
HE,8.174700875462546e-93,4.063211446255621e-181,1.1146883588891609e-49,1.2633691335917184e-129,1.0610245428517239e-206,2.655066747730278e-275,0.047086536671276866,0.0,0.0,0.0,9.66327797173739e-163,8.97244230540725e-97,0.514480016296993,3.4070631637367427e-41,2.1773462101416523e-177,4.3063941852458293e-100,3.0859176493581816e-18,1.2727059393565274e-117,7.59862338422522e-114,3.160097917456696e-124,1.3322973384621742e-25,5.31189586061665e-24,8.066817360700893e-30
NM,4.782096082405969e-62,2.367137473020025e-195,8.666596881141878e-33,2.038477127305477e-100,9.654301301148209e-234,0.0,0.047086536671276866,4.280531131955273e-276,4.4552983641091604e-216,9.66327797173464e-163,0.0,1.923391151718591e-102,0.023738708000014937,4.142759795626983e-38,2.3958593599757457e-187,1.425249242976502e-115,5.061084651642746e-09,2.6478654958473945e-86,1.5504356632687508e-135,1.7596985217251015e-98,4.6997355857194e-32,1.066852144507462e-30,2.8646969605468886e-36
NOE,8.572595177129857e-29,0.0,0.6031256237208945,1.0201110397395398e-43,5.708183642390728e-223,5.560301372523157e-116,0.6984367438899911,2.9071732464101516e-115,2.3490840304843024e-113,6.408887361003898e-97,1.5736836695879382e-102,0.0,8.765033780746025e-09,1.9234528344713065e-29,1.8418673635683034e-266,7.440782407262446e-56,0.0004578345736592448,8.373923516249447e-55,2.8595637658653384e-243,6.080180863302026e-90,2.4406079246979818e-12,1.0028770496984072e-10,2.4319062806035583e-15
NOC,0.29234132360111414,6.497107829409473e-08,0.012526991671964714,4.0680813160917965e-05,0.030287393193083396,0.033148241939347865,0.6984367438899911,0.1242008139636088,0.37884608814081255,0.4697426235755152,0.009711289636369748,1.3147550671119037e-09,0.0,0.5741455471163761,7.656135343475172e-06,6.19023262868663e-16,0.00613427485603208,0.31862840663531317,0.00026614255210827574,0.05529788426037267,0.15249226860610893,0.33239035528629546,0.04284021140934039
NOIter,9.371158324588115e-21,2.8165335524675746e-71,1.4287842700632114e-52,2.7305781573100185e-19,2.650152884256614e-54,2.221517820192204e-92,0.6984367438899911,9.298303041845498e-51,4.650438989866036e-41,3.206647683516934e-41,4.6606047700803566e-38,2.4363735903303214e-29,0.5741455471163761,0.0,1.0644901245172534e-59,2.1531715766733792e-57,1.733651015578128e-52,7.791131657071095e-216,4.814126998502044e-60,5.6432292421084795e-179,7.597763061227905e-100,8.369022594794591e-96,8.437174022209098e-103
NONo,5.786409624404649e-122,0.0,2.002746708610232e-59,9.141525620677055e-99,0.0,2.0600899185336913e-271,0.10913765389617137,3.5852575036753745e-206,7.633277095410002e-210,3.7325935031012495e-177,3.4226562285367796e-187,3.6837347271349314e-266,3.3686995511290755e-05,1.8096332116793306e-59,0.0,1.3499320334511794e-192,4.155087051101304e-17,2.592423737209311e-170,0.0,2.6176854835055466e-182,5.181047301143167e-34,4.519989718450806e-31,1.058080766381069e-38
